"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"Affe","German","monkey","nouns","animals","Affe",NA,NA,NA,NA,NA,NA,NA
"alt","German","old","adjectives","descriptive_words","alt",181,9.206268557468,7.64548410233357,4.59394775654788,2.48686762567185,1.56134325656437,1.37835974011962
"Ameise","German","ant","nouns","animals","Ameise",NA,NA,NA,NA,NA,NA,NA
"an","German","to","function_words","locations","an",3375,6.2806149854272,6.91954330532973,4.05245963306496,2.08391288326651,1.54883544263679,1.44988472312233
"andere","German","another","function_words","quantifiers","andere",1036,7.4616431659144,7.75341040111251,5.73720042653072,3.66942131698277,2.90959331160403,2.69829409741017
"anderer","German","another","function_words","quantifiers","anderer",55,10.3974324035014,9.70742711385005,6.74432192547577,4.41083779699159,3.34993439168079,3.19137848507828
"anfassen","German","touch","verbs","action_words","anfassen",31,10.9707783842487,10.4382302181375,5.91403596911312,3.11109002508319,2.39491162223107,2.36265355771494
"Apfel","German","apple","nouns","food_drink","Apfel",NA,NA,NA,NA,NA,NA,NA
"Apfelsine","German","orange (food)","nouns","food_drink","Orange/Apfelsine",NA,NA,NA,NA,NA,NA,NA
"arbeiten","German","work (action)","verbs","action_words","arbeiten",94,9.86147080646382,10.9179020585614,5.79974220031648,2.58164325261888,1.98528338674624,1.94092248247558
"Arm","German","arm","nouns","body_parts","Arm",NA,NA,NA,NA,NA,NA,NA
"auch","German","also","function_words","quantifiers","auch",14201,4.84369792508881,5.51785884258062,3.82241208135174,2.40968050507959,1.8987323706549,1.82504675066847
"auf","German","on","function_words","locations","auf",8063,5.4097246140488,5.89030765019698,3.70242432125524,2.15431885420212,1.67193463728896,1.58686913904456
"aufheben","German","lift","verbs","action_words","aufheben",52,10.4535218701524,10.9366918777336,6.75611296290073,3.88877576864192,3.32796604920252,3.16489335181735
"aufhören","German","stop","verbs","action_words","aufhören",26,11.1466690507123,12.7301643125597,9.84937008768164,8.0737814164057,7.35132717155205,7.31286563309051
"aufräumen","German","clean (action)","verbs","action_words","aufräumen",71,10.1420857116925,9.81520432344268,5.9118990327704,3.30279575776714,2.36500982765762,2.07577546296758
"Auge","German","eye","nouns","body_parts","Auge",NA,NA,NA,NA,NA,NA,NA
"aus","German","off","function_words","locations","aus",4042,6.10027069077026,6.19937745217863,3.451206643773,1.67129005654011,1.27422198711518,1.20933600384512
"Auto","German","car","nouns","vehicles","Auto",NA,NA,NA,NA,NA,NA,NA
"Badewanne","German","bathtub","nouns","furniture_rooms","Badewanne",NA,NA,NA,NA,NA,NA,NA
"Badezimmer","German","bathroom","nouns","furniture_rooms","Badezimmer",NA,NA,NA,NA,NA,NA,NA
"Bahn","German","train","nouns","vehicles","Bahn",NA,NA,NA,NA,NA,NA,NA
"Ball","German","ball","nouns","toys","Ball",NA,NA,NA,NA,NA,NA,NA
"Banane","German","banana","nouns","food_drink","Banane",NA,NA,NA,NA,NA,NA,NA
"Bär","German","bear","nouns","animals","Bär",NA,NA,NA,NA,NA,NA,NA
"Bauch","German","tummy","nouns","body_parts","Bauch",NA,NA,NA,NA,NA,NA,NA
"Bauchnabel","German","belly button","nouns","body_parts","Bauchnabel",NA,NA,NA,NA,NA,NA,NA
"Baum","German","tree","nouns","outside","Baum",NA,NA,NA,NA,NA,NA,NA
"Becher","German","cup","nouns","household","Becher",NA,NA,NA,NA,NA,NA,NA
"beeilen","German","hurry","verbs","action_words","beeilen",9,12.2075410113976,9.59405650495121,4.90777958265764,1.60253924399381,0.401634427123912,0.129991666826924
"bei","German","for","function_words","locations","bei",1768,6.92716134553624,8.32804932178999,5.3678058049072,3.56315248183973,3.02898277583038,2.90939528210036
"Bein","German","leg","nouns","body_parts","Bein",NA,NA,NA,NA,NA,NA,NA
"beißen","German","bite","verbs","action_words","beißen",44,10.6205759548156,9.45428681809003,4.48904510237018,3.03938128429455,2.52886179123993,2.43409076847988
"Besen","German","broom","nouns","household","Besen",NA,NA,NA,NA,NA,NA,NA
"Bett","German","bed","nouns","furniture_rooms","Bett",NA,NA,NA,NA,NA,NA,NA
"Biene","German","bee","nouns","animals","Biene",NA,NA,NA,NA,NA,NA,NA
"Bild","German","picture","nouns","household","Bild",NA,NA,NA,NA,NA,NA,NA
"Birne","German","pear","nouns","food_drink","Birne",NA,NA,NA,NA,NA,NA,NA
"blau","German","blue","adjectives","descriptive_words","blau",496,8.1981896620089,9.9637129155476,7.2218113209124,5.61648629897837,5.13417599338757,5.03755365818302
"Blume","German","flower","nouns","outside","Blume",NA,NA,NA,NA,NA,NA,NA
"Bohnen","German","beans","nouns","food_drink","Bohnen",NA,NA,NA,NA,NA,NA,NA
"böse","German","bad","adjectives","descriptive_words","böse",19,11.4603266095674,13.0079743260993,7.44490063290793,3.94801015077117,3.10107510137555,3.10107510137555
"bringen","German","bring","verbs","action_words","bringen",157,9.34851978338552,7.93465563009288,4.21164866797992,2.21632970038438,1.60274178742379,1.46825879260822
"Brot","German","bread","nouns","food_drink","Brot",NA,NA,NA,NA,NA,NA,NA
"Brötchen","German","bun","nouns","food_drink","Brötchen",NA,NA,NA,NA,NA,NA,NA
"Buch","German","book","nouns","toys","Buch",NA,NA,NA,NA,NA,NA,NA
"Bürste","German","brush (object)","nouns","household","Bürste",NA,NA,NA,NA,NA,NA,NA
"Bus","German","bus","nouns","vehicles","Bus",NA,NA,NA,NA,NA,NA,NA
"Butter","German","butter","nouns","food_drink","Butter",NA,NA,NA,NA,NA,NA,NA
"Butterbrot","German","sandwich","nouns","food_drink","Butterbrot",NA,NA,NA,NA,NA,NA,NA
"da","German","there","function_words","locations","da",22559,4.3808762103454,5.48066547142419,4.29715852835482,3.43908059448633,3.15732873132855,3.08513228958719
"Dach","German","roof","nouns","outside","Dach",NA,NA,NA,NA,NA,NA,NA
"dasselbe","German","same","function_words","quantifiers","dasselbe",14,11.7657082591186,10.0535513814485,5.59098163596459,3.63711773555641,3.22692764985425,3.22692764985425
"Decke","German","blanket","nouns","household","Decke",NA,NA,NA,NA,NA,NA,NA
"Deckel","German","cover (object)","nouns","household","Deckel",NA,NA,NA,NA,NA,NA,NA
"dein","German","your","function_words","pronouns","dein",993,7.50403492468865,9.02695171946324,6.25913856697747,4.23851579300605,3.58475817431237,3.46881773720807
"der","German","the","function_words","quantifiers","der",23106,4.35691798569086,4.75400142718979,3.50190065399204,2.76876664894145,2.55026721650296,2.50609796830178
"die","German","the","function_words","quantifiers","die",33296,3.99157304010041,4.78106825984253,3.53170347078176,2.67743519171061,2.41014010891079,2.35578511803559
"dies","German","this","function_words","pronouns","dies",133,9.51441646051207,11.9551997796303,9.16254815346697,7.86522186715822,7.49685092578283,7.44398093435631
"diese","German","this","function_words","pronouns","diese",572,8.05562659735403,9.62584114993099,6.12515793030467,4.24606626577534,3.68463682445129,3.57122916081035
"Dose","German","box","nouns","household","Dose",NA,NA,NA,NA,NA,NA,NA
"drücken","German","push","verbs","action_words","drücken",167,9.28677177631707,7.49995146567527,4.56762625774798,3.22776734394332,2.88720039682004,2.84178145968997
"du","German","you","function_words","pronouns","du",31184,4.05710516698649,2.85033041460592,2.00204974251097,1.70999895932431,1.62842374862051,1.60261766588613
"dunkel","German","dark","adjectives","descriptive_words","dunkel",145,9.42803184631325,9.72564617123702,6.33874221831585,3.68977313820662,2.77302720016959,2.71588649521192
"Dusche","German","shower","nouns","furniture_rooms","Dusche",NA,NA,NA,NA,NA,NA,NA
"Eichhörnchen","German","squirrel","nouns","animals","Eichhörnchen",NA,NA,NA,NA,NA,NA,NA
"Eimer","German","bucket","nouns","household","Eimer",NA,NA,NA,NA,NA,NA,NA
"ein","German","a","function_words","quantifiers","ein",21344,4.43623964001848,5.13753866847244,3.92408144172237,2.95689109303347,2.55938712257047,2.46865858804286
"ein bisschen","German","a little","function_words","quantifiers","ein bisschen",NA,NA,NA,NA,NA,NA,NA
"eine","German","a","function_words","quantifiers","eine",9507,5.2449819403748,6.25891250933696,4.782659209238,3.57921417290344,3.04909607877564,2.92493471038363
"einer","German","a","function_words","quantifiers","einer",955,7.5430542482531,7.62686273807661,4.4667712823944,2.76179433282706,2.28187098011593,2.18845972295396
"Eis","German","ice cream","nouns","food_drink","Eis",NA,NA,NA,NA,NA,NA,NA
"Elefant","German","elephant","nouns","animals","Elefant",NA,NA,NA,NA,NA,NA,NA
"Ente","German","duck","nouns","animals","Ente",NA,NA,NA,NA,NA,NA,NA
"er","German","he","function_words","pronouns","er",2970,6.40844835693708,5.68679292094692,3.52620497802977,2.64199166353034,2.45982393874981,2.43370214943296
"es","German","it","function_words","pronouns","es",11435,5.06033148227695,4.76574772934984,3.33367803637891,2.51746494668847,2.30836797440716,2.27236480443906
"Esel","German","donkey","nouns","animals","Esel",NA,NA,NA,NA,NA,NA,NA
"essen","German","eat","verbs","action_words","essen",1650,6.9962350218392,7.17345430181049,4.35753984470499,2.64541507230618,2.14862581215719,2.06602294121459
"Essen","German","food","nouns","food_drink","Essen",NA,NA,NA,NA,NA,NA,NA
"euch","German","you","function_words","pronouns","euch",196,9.12665092950331,7.73722784103894,3.67737608092396,1.52944196111752,1.13768551676143,1.09188264021267
"Eule","German","owl","nouns","animals","Eule",NA,NA,NA,NA,NA,NA,NA
"fahren","German","drive","verbs","action_words","fahren",1774,6.9237734258643,6.75867952407941,4.06669807453684,2.56909670583388,1.99388972930342,1.90334096976042
"Fahrrad","German","bicycle","nouns","vehicles","Fahrrad",NA,NA,NA,NA,NA,NA,NA
"fallen","German","fall","verbs","action_words","fallen",97,9.83005461023044,9.60082586504663,5.14028689697034,3.65048478749058,3.48412843280505,3.45747933485948
"fangen","German","catch","verbs","action_words","fangen",112,9.68626671743873,9.5409248707278,5.07454716184682,3.63514847196473,3.27966562657626,3.21888567191503
"fein","German","fine","adjectives","descriptive_words","fein",286,8.74877377791397,10.2155221283492,7.63559779879509,6.55613642897066,6.30039638408986,6.27346037462056
"Fenster","German","window","nouns","furniture_rooms","Fenster",NA,NA,NA,NA,NA,NA,NA
"Fernseher","German","tv","nouns","furniture_rooms","Fernseher",NA,NA,NA,NA,NA,NA,NA
"fertig machen","German","finish","verbs","action_words","fertig machen",NA,NA,NA,NA,NA,NA,NA
"finden","German","find","verbs","action_words","finden",302,8.69433857135896,8.23110734235271,4.34317478393235,2.15972380953774,1.5805166950919,1.44122946739405
"Finger","German","finger","nouns","body_parts","Finger",NA,NA,NA,NA,NA,NA,NA
"Flasche","German","bottle","nouns","household","Flasche",NA,NA,NA,NA,NA,NA,NA
"Fleisch","German","meat","nouns","food_drink","Fleisch",NA,NA,NA,NA,NA,NA,NA
"Fliege","German","fly (animal)","nouns","animals","Fliege",NA,NA,NA,NA,NA,NA,NA
"Flugzeug","German","airplane","nouns","vehicles","Flugzeug",NA,NA,NA,NA,NA,NA,NA
"Frosch","German","frog","nouns","animals","Frosch",NA,NA,NA,NA,NA,NA,NA
"Fuchs","German","fox","nouns","animals","Fuchs",NA,NA,NA,NA,NA,NA,NA
