"","word_clean"
"1","ein"
"2","einer"
"3","eine"
"4","ein bisschen"
"5","über"
"6","flugzeug"
"7","auch"
"8","tier"
"9","andere"
"10","anderer"
"11","ameise"
"12","apfel"
"13","arm"
"14","sessel"
"15","weg"
"16","zurück"
"17","schlecht"
"18","böse"
"19","ball"
"20","luftballon"
"21","banane"
"22","klo"
"23","badezimmer"
"24","badewanne"
"25","jeder"
"26","bohnen"
"27","bär"
"28","bett"
"29","schlafzimmer"
"30","biene"
"31","bauchnabel"
"32","lätzchen"
"33","fahrrad"
"34","groß"
"35","vogel"
"36","beißen"
"37","schwarz"
"38","decke"
"39","pusten"
"40","blau"
"41","schiff"
"42","buch"
"43","stiefel"
"44","flasche"
"45","dose"
"46","brot"
"47","kaputt machen"
"48","bringen"
"49","kaputt"
"50","besen"
"51","bürste"
"52","eimer"
"53","käfer"
"54","brötchen"
"55","hase"
"56","bus"
"57","popo"
"58","butter"
"59","schmetterling"
"60","kaufen"
"61","kakao"
"62","kuchen"
"63","kamera"
"64","kann"
"65","können"
"66","auto"
"67","vorsichtig"
"68","tragen"
"69","katze"
"70","fangen"
"71","müsli"
"72","wange"
"73","käse"
"74","küken"
"75","huhn"
"76","kinn"
"77","schokolade"
"78","klatschen"
"79","sauber machen"
"80","aufräumen"
"81","sauber"
"82","klettern"
"83","uhr"
"84","zumachen"
"85","wolke"
"86","mantel"
"87","kaffee"
"88","kalt"
"89","kamm"
"90","keks"
"91","sofa"
"92","zudecken"
"93","deckel"
"94","kuh"
"95","krokodil"
"96","weinen"
"97","becher"
"98","tasse"
"99","niedlich"
"100","tanzen"
"101","dunkel"
"102","reh"
"103","windel"
"104","schmutzig"
"105","hund"
"106","puppe"
"107","esel"
"108","tür"
"109","malen"
"110","zeichnen"
"111","schublade"
"112","kleid"
"113","trinken"
"114","fahren"
"115","trocknen"
"116","trocken"
"117","ente"
"118","ohr"
"119","essen"
"120","elefant"
"121","leer"
"122","auge"
"123","gesicht"
"124","fallen"
"125","schnell"
"126","füttern"
"127","füße"
"128","finden"
"129","fein"
"130","finger"
"131","fertig machen"
"132","blume"
"133","fliege"
"134","für"
"135","bei"
"136","gabel"
"137","fuchs"
"138","frosch"
"139","voll"
"140","garage"
"141","garten"
"142","kriegen"
"143","giraffe"
"144","geben"
"145","glas"
"146","handschuhe"
"147","spazieren gehen"
"148","gut"
"149","gans"
"150","weintrauben"
"151","gras"
"152","grün"
"153","haare"
"154","hammer"
"155","hand"
"156","hart"
"157","mütze"
"158","haben"
"159","er"
"160","kopf"
"161","hören"
"162","schwer"
"163","igel"
"164","helfen"
"165","ihr"
"166","hier"
"167","verstecken"
"168","hoch"
"169","ihm"
"170","nilpferd"
"171","sein"
"172","stoßen"
"173","hauen"
"174","schlagen"
"175","halten"
"176","honig"
"177","pferd"
"178","heiß"
"179","wie"
"180","beeilen"
"181","verletzt"
"182","eis"
"183","in"
"184","rein"
"185","es"
"186","jacke"
"187","marmelade"
"188","jeans"
"189","saft"
"190","springen"
"191","schlüssel"
"192","schüssel"
"193","treten"
"194","küssen"
"195","küche"
"196","knie"
"197","messer"
"198","leiter"
"199","lampe"
"200","lachen"
"201","bein"
"202","lecken"
"203","aufheben"
"204","licht"
"205","so"
"206","löwe"
"207","klein"
"208","wohnzimmer"
"209","laut"
"210","machen"
"211","viel"
"212","mich"
"213","mir"
"214","fleisch"
"215","medizin"
"216","milch"
"217","meiner"
"218","affe"
"219","mond"
"220","mehr"
"221","motorrad"
"222","maus"
"223","mund"
"224","mein"
"225","nagel"
"226","neu"
"227","nett"
"228","kein"
"229","keiner"
"230","keine"
"231","nase"
"232","nicht"
"233","nichts"
"234","von"
"235","aus"
"236","alt"
"237","auf"
"238","öffnen"
"239","orange"
"240","unser"
"241","eule"
"242","schlafanzug"
"243","pfannkuchen"
"244","unterhose"
"245","hose"
"246","papier"
"247","nudeln"
"248","birne"
"249","stift"
"250","pinguin"
"251","penis"
"252","bild"
"253","schwein"
"254","kissen"
"255","pizza"
"256","pflanze"
"257","teller"
"258","spielen"
"259","pony"
"260","geschenk"
"261","schön"
"262","pudding"
"263","ziehen"
"264","drücken"
"265","stellen"
"266","ruhig"
"267","radio"
"268","regen"
"269","lesen"
"270","rot"
"271","kühlschrank"
"272","reiten"
"273","dach"
"274","zimmer"
"275","traurig"
"276","dasselbe"
"277","butterbrot"
"278","soße"
"279","sagen"
"280","schal"
"281","schere"
"282","sehen"
"283","schütteln"
"284","schaf"
"285","hemd"
"286","tshirt"
"287","schuh"
"288","soll"
"289","sollst"
"290","schaufel"
"291","zeigen"
"292","dusche"
"293","krank"
"294","singen"
"295","spüle"
"296","sitzen"
"297","himmel"
"298","schlafen"
"299","rutsche"
"300","langsam"
"301","schlange"
"302","schnee"
"303","schneeanzug"
"304","seife"
"305","socken"
"306","weich"
"307","suppe"
"308","spaghetti"
"309","spinne"
"310","kleckern"
"311","spinat"
"312","spritzen"
"313","löffel"
"314","eichhörnchen"
"315","treppe"
"316","stehen"
"317","stock"
"318","stein"
"319","aufhören"
"320","herd"
"321","straße"
"322","zucker"
"323","sonne"
"324","pullover"
"325","schwimmen"
"326","schaukeln"
"327","schaukel"
"328","tisch"
"329","nehmen"
"330","reden"
"331","tee"
"332","reißen"
"333","teddy"
"334","telefon"
"335","die"
"336","der"
"337","ihnen"
"338","da"
"339","dies"
"340","diese"
"341","schmeißen"
"342","werfen"
"343","kitzeln"
"344","tiger"
"345","strumpfhose"
"346","müde"
"347","an"
"348","um"
"349","toast"
"350","zeh"
"351","tomate"
"352","zunge"
"353","zahn"
"354","zahnbürste"
"355","anfassen"
"356","handtuch"
"357","spielzeug"
"358","trecker"
"359","bahn"
"360","müll"
"361","wegwerfen"
"362","baum"
"363","lastwagen"
"364","bauch"
"365","schildkröte"
"366","fernseher"
"367","unter"
"368","uns"
"369","staubsauger"
"370","scheide"
"371","gehen"
"372","laufen"
"373","wollen"
"374","waschen"
"375","waschmaschine"
"376","zugucken"
"377","gucken"
"378","wasser"
"379","wir"
"380","nass"
"381","was"
"382","wann"
"383","wo"
"384","welche"
"385","weiß"
"386","wer"
"387","warum"
"388","wind"
"389","fenster"
"390","wischen"
"391","mit"
"392","wolf"
"393","arbeiten"
"394","schreiben"
"395","hof"
"396","gelb"
"397","joghurt"
"398","euch"
"399","du"
"400","dein"
"401","toilette"
"402","apfelsine"
