hug,abbracciare,abbraccial,,,,,,,,,,,,
turn on,accendere,accendiamol,,,,,,,,,,,,
airplane,aereo,aereopl,aereoplan,aereoplanin,,,,,,,,,,
high,alto,alti,alta,alte,,,,,,,,,,
other,altro,altre,altri,altr',altra,,,,,,,,,
stand,alzarsi,alzart,alzat,alzarl,alzarm,alzar,alzarc,alzav,alziam,,,,,
go,andare,andand,andass,andat,andav,andavam,andiam,andrem,andrebb,,,,,
animal,animale,animalett,animalettin,animalin,animalon,,,,,,,,,
open,aprire,apran,apre,apri,apri',apriam,apriamol,april,aprim,aprirl,aprit,apriv,apro,apron
angry,arrabbiato,arrab,,,,,,,,,,,,
donkey,asino,asinell,,,,,,,,,,,,
wait,aspettare,aspettam,aspe',,,,,,,,,,,
kiss,baciare,bacin,,,,,,,,,,,,
bath,bagnarsi,bagno,,,,,,,,,,,,
child,bambino,bambin,,,,,,,,,,,,
woof woof,bau bau,bau,baubau,,,,,,,,,,,
nice,bello,bellin,bellissim,,,,,,,,,,,
glass,bicchiere,bicchierin,bich,,,,,,,,,,,
cookie,biscotto,biscottin,,,,,,,,,,,,
mouth,boccia,bocc,,,,,,,,,,,,
###,,,,,,,,,,,,,,
