word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount
deuxième,182,182,8.087912087912088,1,45,2,8,French (Quebecois),2043005
sujet,37,37,6.648648648648648,NA,9,1,5,French (Quebecois),2043005
sur,8335,8335,8.64499100179964,1,52,708,3,French (Quebecois),2043005
l'histoire,733,733,7.212824010914052,NA,NA,NA,10,French (Quebecois),2043005
de,25832,25832,9.448203778259524,19,371,1237,2,French (Quebecois),2043005
la,35718,35718,8.161179237359315,26,1986,2682,2,French (Quebecois),2043005
grenouille,244,244,6.254098360655738,7,148,2,10,French (Quebecois),2043005
chi,435,435,5.080459770114943,55,249,43,3,French (Quebecois),2043005
cinq,625,625,7.3696,56,129,66,4,French (Quebecois),2043005
ans,492,492,9.123983739837398,NA,239,NA,3,French (Quebecois),2043005
deux,3884,3884,7.3702368692070035,207,868,370,4,French (Quebecois),2043005
mois,259,259,9.722007722007723,NA,132,NA,4,French (Quebecois),2043005
novembre,22,22,9.363636363636363,1,6,1,8,French (Quebecois),2043005
mil,6,6,13.5,NA,1,NA,3,French (Quebecois),2043005
huit,349,349,8.060171919770774,21,102,25,4,French (Quebecois),2043005
cents,33,33,9.151515151515152,NA,3,1,5,French (Quebecois),2043005
quatre,846,846,7.470449172576832,63,195,79,6,French (Quebecois),2043005
vingt,267,267,8.883895131086142,3,22,47,5,French (Quebecois),2043005
onze,91,91,8.780219780219781,5,24,8,4,French (Quebecois),2043005
voilà,8831,8831,3.111878609444004,4166,1675,2080,5,French (Quebecois),2043005
marion,12,12,5.75,1,8,NA,6,French (Quebecois),2043005
qui,15876,15876,7.9388384983623075,97,1107,2663,3,French (Quebecois),2043005
a,24282,24282,8.833456881640721,21,1207,245,1,French (Quebecois),2043005
six,371,371,7.45822102425876,33,110,47,3,French (Quebecois),2043005
dupont,6,6,9.5,NA,2,NA,6,French (Quebecois),2043005
sois,87,87,9.827586206896552,NA,NA,13,4,French (Quebecois),2043005
pas,35869,35869,8.21559006384343,15,5145,1351,3,French (Quebecois),2043005
ennuyée,1,1,4,NA,NA,NA,7,French (Quebecois),2043005
hein,16323,16323,5.964467316057098,3252,9364,1441,4,French (Quebecois),2043005
tu,77620,77620,7.305114661169801,50,1033,37341,2,French (Quebecois),2043005
lui,5936,5936,8.60512129380054,29,1025,227,3,French (Quebecois),2043005
racontes,481,481,7.46985446985447,NA,147,NA,8,French (Quebecois),2043005
peux,2968,2968,8.278638814016173,1,106,34,4,French (Quebecois),2043005
regarder,868,868,8.085253456221198,2,208,19,8,French (Quebecois),2043005
l'image,99,99,7.282828282828283,NA,NA,NA,7,French (Quebecois),2043005
comme,9846,9846,7.828661385334146,4,34,2168,5,French (Quebecois),2043005
même,2165,2165,9.29284064665127,4,371,149,4,French (Quebecois),2043005
il,34885,34885,8.25698724380106,12,118,15174,2,French (Quebecois),2043005
faut,6848,6848,8.502044392523365,NA,200,1658,4,French (Quebecois),2043005
c'est,51142,51142,6.26412733174299,NA,NA,NA,5,French (Quebecois),2043005
plus,6225,6225,8.493333333333334,8,1279,207,4,French (Quebecois),2043005
facile,349,349,7.616045845272207,3,131,3,6,French (Quebecois),2043005
ça,43747,43747,6.7316158822319245,390,15501,9524,2,French (Quebecois),2043005
t'embête,19,19,5.052631578947368,NA,NA,NA,8,French (Quebecois),2043005
non,24489,24489,5.7235085140267055,4537,5876,9889,3,French (Quebecois),2043005
ah,22852,22852,5.001093996149134,3291,1090,17682,2,French (Quebecois),2043005
ben,9262,9262,7.167134528179659,95,224,4888,3,French (Quebecois),2043005
