word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount
pajas,1,1,1,1,NA,NA,5,Swedish,387670
så,7316,7316,7.274193548387097,1058,863,1625,2,Swedish,387670
nu,3672,3672,6.778322440087146,33,763,1521,2,Swedish,387670
får,770,770,8.103896103896103,2,41,169,3,Swedish,387670
vi,6312,6312,7.811787072243346,10,208,743,2,Swedish,387670
se,1219,1219,7.77194421657096,5,277,75,2,Swedish,387670
då,7860,7860,6.668320610687023,4,5680,882,2,Swedish,387670
m,442,442,4.321266968325792,173,24,202,1,Swedish,387670
de,19675,19675,6.178094027954256,23,4293,4655,2,Swedish,387670
va,12894,12894,5.976268031642625,400,972,6211,2,Swedish,387670
inte,4386,4386,7.080711354309165,62,650,322,4,Swedish,387670
riktit,19,19,8.842105263157896,NA,4,NA,6,Swedish,387670
rätt,129,129,6.550387596899225,NA,53,2,4,Swedish,387670
ta,1107,1107,7.373080397470641,2,57,151,2,Swedish,387670
du,16768,16768,6.894322519083969,62,2318,1674,2,Swedish,387670
en,5868,5868,6.879004771642808,45,117,1012,2,Swedish,387670
annan,32,32,8.6875,NA,2,NA,5,Swedish,387670
bit,135,135,8.177777777777777,NA,24,3,3,Swedish,387670
till,786,786,7.141221374045801,1,356,27,4,Swedish,387670
å,7774,7774,8.507975302289683,122,91,3574,1,Swedish,387670
börja,95,95,7.4526315789473685,NA,9,3,5,Swedish,387670
me,2272,2272,7.840669014084507,1,261,132,2,Swedish,387670
ja,10773,10773,5.625638169497819,1224,2820,4037,2,Swedish,387670
kan,4616,4616,7.7941941074523395,3,85,1230,3,Swedish,387670
hålla,194,194,7.639175257731959,NA,7,9,5,Swedish,387670
den,8461,8461,6.820824961588465,75,1690,1274,3,Swedish,387670
lägg,71,71,6.084507042253521,NA,NA,53,4,Swedish,387670
där,7340,7340,6.506267029972752,135,2503,1315,3,Swedish,387670
e,11773,11773,6.151363288881338,8,277,1710,1,Swedish,387670
för,2582,2582,8.479085979860573,1,31,103,3,Swedish,387670
nåt,143,143,7.216783216783217,NA,54,NA,3,Swedish,387670
mimmi,36,36,4.555555555555555,3,20,4,5,Swedish,387670
ska,6964,6964,6.8742102240091905,4,21,3106,3,Swedish,387670
bra,697,697,5.152080344332855,114,277,29,3,Swedish,387670
andreas,101,101,7.435643564356436,NA,45,5,7,Swedish,387670
ligga,171,171,6.315789473684211,NA,25,3,5,Swedish,387670
farmor,26,26,7.461538461538462,1,4,4,6,Swedish,387670
sitter,109,109,6.871559633027523,NA,NA,12,6,Swedish,387670
farmors,1,1,4,NA,NA,NA,7,Swedish,387670
xxx,1936,1936,3.715392561983471,831,463,378,3,Swedish,387670
har,846,846,7.709219858156028,NA,31,195,3,Swedish,387670
sockar,4,4,3.5,NA,3,NA,6,Swedish,387670
några,20,20,8.1,NA,NA,1,5,Swedish,387670
pappa,894,894,6.859060402684563,9,202,123,5,Swedish,387670
på,5020,5020,8.210557768924303,5,304,210,2,Swedish,387670
sej,647,647,8.944358578052551,NA,229,NA,3,Swedish,387670
farfar,10,10,7.7,NA,2,2,6,Swedish,387670
vilken,41,41,5.365853658536586,2,NA,23,6,Swedish,387670
maja,9,9,5.333333333333333,NA,4,3,4,Swedish,387670
hästar,6,6,7.5,NA,3,NA,6,Swedish,387670
asså,10,10,3.5,6,NA,3,4,Swedish,387670
behöver,40,40,8.375,NA,3,6,7,Swedish,387670
gråta,2,2,7.5,NA,NA,NA,5,Swedish,387670
skulle,63,63,9.380952380952381,NA,NA,10,6,Swedish,387670
villa,32,32,7.25,NA,1,1,5,Swedish,387670
dom,4008,4008,7.135728542914172,7,615,513,3,Swedish,387670
hästarna,7,7,10.142857142857142,NA,3,NA,8,Swedish,387670
mm,1279,1279,1.9734167318217357,1025,14,237,2,Swedish,387670
hästen,57,57,5.947368421052632,3,23,3,6,Swedish,387670
häst,205,205,6.4487804878048784,2,104,2,4,Swedish,387670
nä,1884,1884,5.59447983014862,326,128,1365,2,Swedish,387670
ingen,49,49,6.8979591836734695,NA,3,4,5,Swedish,387670
men,2654,2654,8.205350414468727,30,36,1666,3,Swedish,387670
fa,9,9,5.555555555555555,NA,5,2,2,Swedish,387670
vet,963,963,7.8992731048805815,1,24,344,3,Swedish,387670
hon,2120,2120,6.743867924528302,3,201,392,3,Swedish,387670
säjer,110,110,5.363636363636363,NA,5,9,5,Swedish,387670
fåren,1,1,3,NA,1,NA,5,Swedish,387670
heja,4,4,6.25,NA,1,NA,4,Swedish,387670
titta,1743,1743,5.627079747561675,154,162,668,5,Swedish,387670
musses,2,2,4.5,NA,NA,NA,6,Swedish,387670
näsa,57,57,5.649122807017544,2,36,3,4,Swedish,387670
hå,36,36,3.3333333333333335,15,6,10,2,Swedish,387670
kvar,128,128,7.6953125,NA,63,NA,4,Swedish,387670
bara,600,600,7.671666666666667,NA,63,45,4,Swedish,387670
ha,3861,3861,4.813519813519814,1469,251,598,2,Swedish,387670
vill,1077,1077,6.897864438254411,NA,41,317,4,Swedish,387670
klementin,1,1,1,1,NA,NA,9,Swedish,387670
slut,189,189,4.809523809523809,4,131,1,4,Swedish,387670
ont,146,146,7.376712328767123,NA,37,4,3,Swedish,387670
i,4090,4090,8.35843520782396,5,229,219,1,Swedish,387670
magen,24,24,8.666666666666666,NA,14,NA,5,Swedish,387670
om,1814,1814,8.995038588754134,1,108,194,2,Swedish,387670
äter,41,41,7.804878048780488,NA,8,5,4,Swedish,387670
mer,570,570,6.824561403508772,4,169,9,3,Swedish,387670
koka,8,8,7.25,NA,NA,NA,4,Swedish,387670
kaffe,119,119,6.663865546218488,6,64,3,5,Swedish,387670
äta,511,511,7.63013698630137,1,78,12,3,Swedish,387670
kaka,74,74,6.135135135135135,2,51,NA,4,Swedish,387670
lit,6,6,7.833333333333333,NA,2,NA,3,Swedish,387670
pippi,151,151,6.47682119205298,6,41,20,5,Swedish,387670
ute,340,340,8.564705882352941,3,88,12,3,Swedish,387670
hej,374,374,3.2593582887700534,57,103,179,3,Swedish,387670
säja,285,285,7.414035087719299,NA,45,1,4,Swedish,387670
nånting,559,559,7.262969588550984,NA,286,4,7,Swedish,387670
te,897,897,8.023411371237458,2,14,58,2,Swedish,387670
band+spel-are-n,13,13,6.846153846153846,1,7,1,15,Swedish,387670
hm,1882,1882,2.0377258235919236,1463,65,348,2,Swedish,387670
gå-r,496,496,7.528225806451613,NA,29,55,4,Swedish,387670
runt,144,144,7.798611111111111,NA,32,4,4,Swedish,387670
se-r,823,823,7.055893074119076,NA,20,218,4,Swedish,387670
anton,687,687,6.9374090247452695,14,502,24,5,Swedish,387670
att,1651,1651,10.701393095093882,NA,16,45,3,Swedish,387670
rol-i-t,134,134,6.7388059701492535,NA,60,NA,7,Swedish,387670
visa,135,135,7.940740740740741,NA,8,16,4,Swedish,387670
far+mor,471,471,6.987261146496815,11,82,65,7,Swedish,387670
bok-en,139,139,7.525179856115108,2,67,1,6,Swedish,387670
ludde,57,57,6.228070175438597,5,18,9,5,Swedish,387670
lite-n,367,367,7.970027247956403,NA,42,4,6,Swedish,387670
kanin,59,59,6.694915254237288,2,35,NA,5,Swedish,387670
som,2761,2761,9.283955088735965,2,46,156,3,Swedish,387670
het-er,315,315,5.279365079365079,NA,36,23,6,Swedish,387670
sitt-er,366,366,7.204918032786885,NA,9,44,7,Swedish,387670
han,5302,5302,6.5281026027913995,9,541,1142,3,Swedish,387670
läs-er,48,48,7.833333333333333,NA,4,4,6,Swedish,387670
berätta,329,329,8.790273556231003,17,20,47,7,Swedish,387670
gör,2171,2171,5.41409488714878,NA,122,245,3,Swedish,387670
