word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
da,5000,5000,6.4878,516,1014,996,2,Croatian,226081,da,yes,2,"da, dao",5057,2.5,5057,6.822847368421053,516,1035,998
što,1975,1975,5.956455696202531,51,52,884,3,Croatian,226081,što,what,1,što,1975,3,1975,5.956455696202531,51,52,884
pas,86,86,8.325581395348838,5,27,7,3,Croatian,226081,pas,dog,7,"pas, pasa, pase, paslo, pasla, pasu, pasli",105,4.285714285714286,105,12.22111480251015,6,30,7
na,1748,1748,7.918764302059497,9,41,245,2,Croatian,226081,na,on,2,"na, nao",1749,2.5,1749,4.4593821510297484,10,41,245
dobro,1048,1048,3.435114503816794,419,181,283,5,Croatian,226081,dobr,good,8,"dobro, dobra, dobre, dobri, dobrog, dobru, dobroj, dobrom",1151,5.375,1151,6.926472935060721,422,213,289
ne,3318,3318,6.2594936708860756,198,283,1238,2,Croatian,226081,ne,no,1,ne,3318,2,3318,6.2594936708860756,198,283,1238
to,4734,4734,6.028939585973807,29,1216,1127,2,Croatian,226081,to,it,1,to,4734,2,4734,6.028939585973807,29,1216,1127
ti,5057,5057,6.959264385999605,9,267,455,2,Croatian,226081,ti,you,3,"ti, tebe, tebi",5385,3.3333333333333335,5385,6.734850538036306,12,350,476
meni,258,258,7.124031007751938,6,39,18,4,Croatian,226081,men,me,2,"meni, mene",370,4,370,6.803086932447398,7,92,19
reći,97,97,7.164948453608248,NA,42,3,4,Croatian,226081,reć,say,2,"reći, reć",126,3.5,126,7.737646640597227,0,44,3
tko,1426,1426,4.901823281907434,92,8,235,3,Croatian,226081,tko,who,1,tko,1426,3,1426,4.901823281907434,92,8,235
još,1285,1285,5.586770428015564,62,266,204,3,Croatian,226081,još,more,3,"još, više, viš",1600,3.3333333333333335,1600,6.194786284150954,63,360,221
oni,151,151,7.569536423841059,1,17,43,3,Croatian,226081,on,that,14,"oni, on, ono, onu, ona, one, onoj, onom, onog, onoga, onim, onih, onima, onome",1522,3.7142857142857144,1522,10.38978992365303,4,108,316
rade,126,126,5.674603174603175,1,56,2,4,Croatian,226081,rad,radio,16,"rade, radi, radili, radio, radila, raditi, radim, radimo, radit, rada, radu, radom, radite, radove, radile, rado",1100,5.125,1100,7.2911792492725604,11,491,16
gdje,1698,1698,5.0477031802120145,89,25,206,4,Croatian,226081,gdje,where (question),1,gdje,1698,4,1698,5.0477031802120145,89,25,206
