word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
nu,3672,3672,6.778322440087146,33,763,1521,2,Swedish,387670,nu,now,1,nu,3672,2,3672,6.778322440087146,33,763,1521
får,770,770,8.103896103896103,2,41,169,3,Swedish,387670,får,sheep,2,"får, fåren",771,4,771,5.5519480519480515,2,42,169
se,1219,1219,7.77194421657096,5,277,75,2,Swedish,387670,se,see,1,se,1219,2,1219,7.77194421657096,5,277,75
inte,4386,4386,7.080711354309165,62,650,322,4,Swedish,387670,int,not (routine),3,"inte, inten, int",4393,4,4393,4.91579267365861,62,653,324
inte,4386,4386,7.080711354309165,62,650,322,4,Swedish,387670,int,not,3,"inte, inten, int",4393,4,4393,4.91579267365861,62,653,324
ta,1107,1107,7.373080397470641,2,57,151,2,Swedish,387670,ta,take,1,ta,1107,2,1107,7.373080397470641,2,57,151
du,16768,16768,6.894322519083969,62,2318,1674,2,Swedish,387670,du,you,3,"du, din, dina",17285,3,17285,6.927837917044115,63,2360,1706
bit,135,135,8.177777777777777,NA,24,3,3,Swedish,387670,bit,bite,6,"bit, bitar, biten, bita, bitarna, biter",193,4.833333333333333,193,7.4237670825906115,1,40,4
ja,10773,10773,5.625638169497819,1224,2820,4037,2,Swedish,387670,ja,yes,1,ja,10773,2,10773,5.625638169497819,1224,2820,4037
den,8461,8461,6.820824961588465,75,1690,1274,3,Swedish,387670,den,that,1,den,8461,3,8461,6.820824961588465,75,1690,1274
där,7340,7340,6.506267029972752,135,2503,1315,3,Swedish,387670,där,there,2,"där, dära",7341,3.5,7341,7.753133514986375,135,2503,1315
farmor,26,26,7.461538461538462,1,4,4,6,Swedish,387670,farm,grandma,5,"farmor, farmors, farm, mormor, mormors",66,6,66,5.974660633484163,3,12,11
