word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,language.y,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
da,5000,5000,NA,580,1009,980,2,Croatian,224755,da,Croatian,yes,2,"da, dao",5057,2.5,5057,7.157894736842105,580,1030,982
što,1975,1975,NA,64,52,879,3,Croatian,224755,što,Croatian,what,1,što,1975,3,1975,NA,64,52,879
pas,86,86,8.325581395348838,5,27,7,3,Croatian,224755,pas,Croatian,dog,7,"pas, pasa, pase, paslo, pasla, pasu, pasli",105,4.285714285714286,105,12.22111480251015,6,30,7
na,1748,1748,NA,29,39,243,2,Croatian,224755,na,Croatian,on,2,"na, nao",1749,2.5,1749,1,30,39,243
dobro,1048,1048,NA,436,180,276,5,Croatian,224755,dobr,Croatian,good,8,"dobro, dobra, dobre, dobri, dobrog, dobru, dobroj, dobrom",1151,5.375,1151,7.425238425238425,439,212,282
ne,3318,3318,NA,238,283,1227,2,Croatian,224755,ne,Croatian,no,1,ne,3318,2,3318,NA,238,283,1227
to,4734,4734,NA,74,1211,1116,2,Croatian,224755,to,Croatian,it,1,to,4734,2,4734,NA,74,1211,1116
ti,5057,5057,NA,58,266,449,2,Croatian,224755,ti,Croatian,you,3,"ti, tebe, tebi",5385,3.3333333333333335,5385,NA,65,349,470
meni,258,258,NA,10,39,18,4,Croatian,224755,men,Croatian,me,2,"meni, mene",370,4,370,6.482142857142857,11,92,19
reći,97,97,NA,2,42,2,4,Croatian,224755,reć,Croatian,say,2,"reći, reć",126,3.5,126,8.310344827586206,2,44,2
tko,1426,1426,NA,101,8,235,3,Croatian,224755,tko,Croatian,who,1,tko,1426,3,1426,NA,101,8,235
još,1285,1285,NA,78,263,201,3,Croatian,224755,još,Croatian,more,3,"još, više, viš",1600,3.3333333333333335,1600,5.75,80,357,218
oni,151,151,7.569536423841059,1,17,43,3,Croatian,224755,on,Croatian,that,14,"oni, on, ono, onu, ona, one, onoj, onom, onog, onoga, onim, onih, onima, onome",1522,3.7142857142857144,1522,11.848140212670794,23,108,315
rade,126,126,5.674603174603175,1,56,2,4,Croatian,224755,rad,Croatian,radio,16,"rade, radi, radili, radio, radila, raditi, radim, radimo, radit, rada, radu, radom, radite, radove, radile, rado",1100,5.125,1100,6.36843021240034,22,488,16
gdje,1698,1698,NA,101,25,206,4,Croatian,224755,gdje,Croatian,where (question),1,gdje,1698,4,1698,NA,101,25,206
mali,301,301,NA,10,93,51,4,Croatian,224755,mal,Croatian,little (amount),8,"mali, male, malo, mala, malu, maloj, malom, malima",1999,4.5,1999,6.76132730015083,47,540,206
ovo,1583,1583,NA,49,458,356,3,Croatian,224755,ov,Croatian,this,13,"ovo, ovoj, ovu, ovog, ove, ova, ovoga, ovim, ovi, ovom, ovih, ovima, ov",2453,3.6153846153846154,2453,6.2317146845966995,93,562,479
on,480,480,NA,13,27,133,2,Croatian,224755,on,Croatian,that,14,"oni, on, ono, onu, ona, one, onoj, onom, onog, onoga, onim, onih, onima, onome",1522,3.7142857142857144,1522,11.848140212670794,23,108,315
u,2639,2639,NA,48,56,498,1,Croatian,224755,u,Croatian,in,1,u,2639,1,2639,NA,48,56,498
boca,5,5,3.6,NA,1,2,4,Croatian,224755,boc,Croatian,bottle,5,"boca, boc, bocu, boce, boco",24,3.8,24,3.9033333333333333,2,8,8
krevetu,31,31,7.580645161290323,NA,18,NA,7,Croatian,224755,krevet,Croatian,bed,4,"krevetu, krevet, kreveta, krevetima",76,7.25,76,5.796676441837732,6,37,2
puno,205,205,NA,10,31,47,4,Croatian,224755,pun,Croatian,many,8,"puno, punu, pune, puna, pun, puni, punog, punom",238,4.125,238,9.530952380952382,11,34,54
životinja,36,36,6.083333333333333,NA,25,NA,9,Croatian,224755,životinj,Croatian,animal,4,"životinja, životinje, životinju, životinjama",69,9.5,69,6.976190476190476,0,40,2
dječak,33,33,4.96969696969697,1,15,7,6,Croatian,224755,dječak,Croatian,boy,3,"dječak, dječaku, dječaka",36,6.666666666666667,36,8.823232323232324,1,15,7
žaba,7,7,3.7142857142857144,NA,7,NA,4,Croatian,224755,žab,Croatian,frog,3,"žaba, žabe, žabu",15,4,15,3.988095238095238,1,13,0
male,93,93,NA,1,18,4,4,Croatian,224755,mal,Croatian,little (amount),8,"mali, male, malo, mala, malu, maloj, malom, malima",1999,4.5,1999,6.76132730015083,47,540,206
žabe,4,4,5.5,NA,3,NA,4,Croatian,224755,žab,Croatian,frog,3,"žaba, žabe, žabu",15,4,15,3.988095238095238,1,13,0
malo,1236,1236,NA,25,321,110,4,Croatian,224755,mal,Croatian,little (amount),8,"mali, male, malo, mala, malu, maloj, malom, malima",1999,4.5,1999,6.76132730015083,47,540,206
