word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
se,3096,3096,5.316537467700258,372,751,534,2,Danish,195658,se,see,1,se,3096,2,3096,5.316537467700258,372,751,534
du,7917,7917,6.345585449033725,7,356,949,2,Danish,195658,du,you,1,du,7917,2,7917,6.345585449033725,7,356,949
hvad,5322,5322,4.270950770387072,1280,403,2511,4,Danish,195658,hvad,what,1,hvad,5322,4,5322,4.270950770387072,1280,403,2511
det,10741,10741,5.895912857275859,23,1874,3802,3,Danish,195658,det,that,2,"det, dette",10743,4,10743,6.19795642863793,23,1874,3802
det,10741,10741,5.895912857275859,23,1874,3802,3,Danish,195658,det,this,5,"det, den, denne, dens, dette",18040,4,18040,6.286435828686425,45,3255,5182
kaffe,59,59,6.169491525423729,NA,38,1,5,Danish,195658,kaf,coffee,2,"kaffe, kaffen",66,5.5,66,5.87046004842615,0,41,1
jeg,3033,3033,6.611275964391691,1,189,727,3,Danish,195658,jeg,i,1,jeg,3033,3,3033,6.611275964391691,1,189,727
tørre,40,40,6.525,2,5,4,5,Danish,195658,tør,dry (description),5,"tørre, tør, tørret, tørrer, tørres",54,5.2,54,6.069285714285714,2,6,6
munden,46,46,7.260869565217392,1,34,NA,6,Danish,195658,mund,mouth,2,"munden, mund",68,5,68,6.289525691699605,1,49,0
have,959,959,6.797705943691345,1,123,6,4,Danish,195658,hav,garden,4,"have, haver, hav, haven",963,4.25,963,7.449426485922836,1,126,6
hagesmæk,2,2,8,NA,NA,NA,8,Danish,195658,hagesmæk,bib,1,hagesmæk,2,8,2,8,0,0,0
på,2075,2075,7.085301204819277,3,619,84,2,Danish,195658,på,on,1,på,2075,2,2075,7.085301204819277,3,619,84
den,7218,7218,5.886533665835412,22,1379,1368,3,Danish,195658,den,it,3,"den, denne, dens",7297,4,7297,6.345422095385422,22,1381,1380
den,7218,7218,5.886533665835412,22,1379,1368,3,Danish,195658,den,this,5,"det, den, denne, dens, dette",18040,4,18040,6.286435828686425,45,3255,5182
ikke,4883,4883,6.620724964161377,93,823,266,4,Danish,195658,ikk,not,2,"ikke, ikkke",4884,4.5,4884,7.310362482080688,93,823,266
der,4651,4651,6.495162330681574,153,1406,921,3,Danish,195658,der,there,2,"der, deres",4664,4,4664,7.132196549956172,153,1406,921
banan,11,11,5.454545454545454,1,5,NA,5,Danish,195658,banan,banana,2,"banan, bananer",12,6,12,3.727272727272727,1,6,0
få,422,422,7.265402843601896,NA,11,7,2,Danish,195658,få,get,1,få,422,2,422,7.265402843601896,0,11,7
nu,1705,1705,6.217008797653959,17,273,790,2,Danish,195658,nu,now,1,nu,1705,2,1705,6.217008797653959,17,273,790
vil,765,765,6.115032679738562,1,5,415,3,Danish,195658,vil,wanna,2,"vil, ville",792,4,792,6.853812636165577,1,6,417
ned,435,435,6.597701149425287,1,166,13,3,Danish,195658,ned,down,3,"ned, nede, neden",531,4,531,7.153256704980842,1,171,25
mere,423,423,6.15839243498818,3,237,12,4,Danish,195658,mer,more,2,"mere, mer",427,3.5,427,3.95419621749409,6,238,12
i,1991,1991,7.790055248618785,NA,226,104,1,Danish,195658,i,in,4,"i, inden, inde, ind",2287,3.25,2287,8.784539801039953,0,261,122
tak,292,292,1.5787671232876712,225,22,41,3,Danish,195658,tak,thank you,2,"tak, take",293,3.5,293,2.2893835616438354,225,22,42
hej,224,224,1.7455357142857142,131,43,43,3,Danish,195658,hej,hi,1,hej,224,3,224,1.7455357142857142,131,43,43
noget,1150,1150,6.986086956521739,NA,490,22,5,Danish,195658,nog,some,3,"noget, nogle, nogen",1773,5,1773,7.5364651068497945,0,593,35
spise,104,104,6.355769230769231,NA,20,1,5,Danish,195658,spis,eat,4,"spise, spises, spiser, spis",196,5.25,196,5.313641102873031,1,34,25
god,96,96,6.572916666666667,NA,18,1,3,Danish,195658,god,good,2,"god, gode",114,3.5,114,6.869791666666667,0,21,1
anden,222,222,7,NA,38,NA,5,Danish,195658,and,duck,4,"anden, andet, and, anders",369,4.75,369,6.904150197628459,0,94,2
mad,62,62,6.467741935483871,NA,34,1,3,Danish,195658,mad,feed,2,"mad, maden",65,4,65,7.067204301075269,0,35,2
mad,62,62,6.467741935483871,NA,34,1,3,Danish,195658,mad,food,2,"mad, maden",65,4,65,7.067204301075269,0,35,2
ja,6154,6154,2.6512837179070523,3924,393,1813,2,Danish,195658,ja,yes,1,ja,6154,2,6154,2.6512837179070523,3924,393,1813
nej,2152,2152,3.6222118959107807,969,86,1079,3,Danish,195658,nej,no,1,nej,2152,3,2152,3.6222118959107807,969,86,1079
op,586,586,6.377133105802048,15,250,33,2,Danish,195658,op,up,2,"op, oppe",677,3,677,7.0621929265273975,15,257,47
lege,250,250,8.084,1,28,1,4,Danish,195658,leg,play,5,"lege, leger, leget, leg, legen",369,4.4,369,7.268412903225807,1,46,8
dag,85,85,8.058823529411764,NA,64,NA,3,Danish,195658,dag,day,2,"dag, dagen",89,4,89,6.404411764705882,0,68,0
bordet,108,108,6.527777777777778,NA,88,NA,6,Danish,195658,bord,table,3,"bordet, bord, borde",136,5,136,6.003086419753086,1,108,1
kasse,29,29,6.103448275862069,NA,16,1,5,Danish,195658,kas,box,6,"kasse, kassen, æsken, kasserne, kasser, æsk",120,5.5,120,7.074268269213947,1,84,1
tæppet,11,11,6.909090909090909,NA,7,NA,6,Danish,195658,tæp,carpet,2,"tæppet, tæppe",16,5.5,16,6.154545454545454,0,10,0
putter,26,26,7.346153846153846,NA,NA,3,6,Danish,195658,put,put,9,"putter, putte, sætte, sætter, put, sættes, sæt, puttes, puttet",683,5.111111111111111,683,6.437045529269593,1,9,75
kassen,73,73,6.164383561643835,NA,59,NA,6,Danish,195658,kas,box,6,"kasse, kassen, æsken, kasserne, kasser, æsk",120,5.5,120,7.074268269213947,1,84,1
bjørnen,10,10,3.4,1,5,1,7,Danish,195658,bjørn,bear,2,"bjørnen, bjørn",54,6,54,3.9386363636363635,5,40,1
inden,14,14,10.857142857142858,NA,NA,2,5,Danish,195658,ind,in,4,"i, inden, inde, ind",2287,3.25,2287,8.784539801039953,0,261,122
tom,39,39,3.769230769230769,2,30,NA,3,Danish,195658,tom,empty,2,"tom, tomme",40,4,40,3.8846153846153846,2,31,0
væk,195,195,4.8,10,137,11,3,Danish,195658,væk,all gone,3,"væk, vække, vækker",197,4.666666666666667,197,10.266666666666666,10,137,11
væk,195,195,4.8,10,137,11,3,Danish,195658,væk,away,3,"væk, vække, vækker",197,4.666666666666667,197,10.266666666666666,10,137,11
bilen,147,147,4.789115646258503,3,65,22,5,Danish,195658,bil,car,7,"bilen, bil, biler, bille, bilerne, biller, billen",262,5.285714285714286,262,6.5239927374486015,6,151,23
putte,109,109,7.027522935779817,NA,1,3,5,Danish,195658,put,put,9,"putter, putte, sætte, sætter, put, sættes, sæt, puttes, puttet",683,5.111111111111111,683,6.437045529269593,1,9,75
mig,428,428,6.852803738317757,NA,193,NA,3,Danish,195658,mig,me,1,mig,428,3,428,6.852803738317757,0,193,0
hvor,1082,1082,4.896487985212569,46,1,755,4,Danish,195658,hvor,where (question),1,hvor,1082,4,1082,4.896487985212569,46,1,755
vent,58,58,3.810344827586207,5,5,25,4,Danish,195658,vent,wait,3,"vent, vente, venter",112,5,112,6.4288451012588945,6,13,25
tager,179,179,6.955307262569832,NA,2,12,5,Danish,195658,tag,take,5,"tager, tage, tag, taget, tages",628,4.4,628,6.6058480225330944,0,35,48
fast,107,107,6.02803738317757,NA,68,NA,4,Danish,195658,fast,aunt,3,"fast, moster, mosters",118,5.666666666666667,118,4.898234683281412,0,70,2
nogle,331,331,7.897280966767371,NA,44,5,5,Danish,195658,nogl,some,3,"noget, nogle, nogen",1773,5,1773,7.5364651068497945,0,593,35
tage,336,336,6.982142857142857,NA,17,3,4,Danish,195658,tag,take,5,"tager, tage, tag, taget, tages",628,4.4,628,6.6058480225330944,0,35,48
løve,30,30,4.4,1,26,NA,4,Danish,195658,løv,lion,4,"løve, løven, løver, løvens",45,5,45,6.065909090909091,2,34,0
sammen,211,211,7.203791469194313,NA,115,8,6,Danish,195658,sam,same,2,"sammen, samme",247,5.5,247,7.560229067930489,0,127,9
løven,11,11,4.363636363636363,1,6,NA,5,Danish,195658,løv,lion,4,"løve, løven, løver, løvens",45,5,45,6.065909090909091,2,34,0
lille,465,465,6.434408602150538,1,35,20,5,Danish,195658,lil,little (description),1,lille,465,5,465,6.434408602150538,1,35,20
sætte,335,335,7.2388059701492535,1,4,7,5,Danish,195658,sæt,put,9,"putter, putte, sætte, sætter, put, sættes, sæt, puttes, puttet",683,5.111111111111111,683,6.437045529269593,1,9,75
æble,14,14,6.142857142857143,NA,8,NA,4,Danish,195658,æbl,apple,3,"æble, æblet, æbler",20,4.666666666666667,20,5.5476190476190474,1,13,0
siger,527,527,5.072106261859583,NA,61,51,5,Danish,195658,sig,say,3,"siger, sig, sige",918,4,918,6.628293375396424,0,126,60
bid,11,11,4.818181818181818,4,3,NA,3,Danish,195658,bid,bite,5,"bid, bidder, bide, bider, bides",126,4.6,126,5.9248709315375985,7,34,13
af,774,774,8.001291989664082,3,252,14,2,Danish,195658,af,off,1,af,774,2,774,8.001291989664082,3,252,14
tæppe,5,5,5.4,NA,3,NA,5,Danish,195658,tæp,carpet,2,"tæppet, tæppe",16,5.5,16,6.154545454545454,0,10,0
lukke,31,31,5.838709677419355,1,4,1,5,Danish,195658,luk,close,5,"lukke, lukkes, lukker, lukket, luk",65,5.2,65,4.749060616802552,1,15,4
andet,121,121,8.181818181818182,NA,37,2,5,Danish,195658,and,duck,4,"anden, andet, and, anders",369,4.75,369,6.904150197628459,0,94,2
ud,588,588,8.16156462585034,NA,229,19,2,Danish,195658,ud,out,1,ud,588,2,588,8.16156462585034,0,229,19
cykel,20,20,5.2,NA,16,NA,5,Danish,195658,cykel,bicycle,1,cykel,20,5,20,5.2,0,16,0
får,174,174,7.775862068965517,NA,13,11,3,Danish,195658,får,sheep,3,"får, fårene, fåret",177,4.666666666666667,177,4.925287356321839,0,16,11
sætter,84,84,7.511904761904762,NA,1,1,6,Danish,195658,sæt,put,9,"putter, putte, sætte, sætter, put, sættes, sæt, puttes, puttet",683,5.111111111111111,683,6.437045529269593,1,9,75
rød,81,81,4.617283950617284,5,33,3,3,Danish,195658,rød,red,3,"rød, røde, rødder",143,4.333333333333333,143,6.957173746250959,5,47,7
skål,11,11,2.4545454545454546,5,NA,4,4,Danish,195658,skål,bowl,2,"skål, skålen",12,5,12,4.7272727272727275,5,0,4
hånden,48,48,6.791666666666667,NA,37,1,6,Danish,195658,hånd,hand,2,"hånden, hånd",84,5,84,6.354166666666667,0,65,1
tung,16,16,4.9375,1,10,NA,4,Danish,195658,tung,tongue,4,"tung, tunge, tungen, tungt",51,5,51,4.621875,2,31,1
min,121,121,6.090909090909091,1,26,8,3,Danish,195658,min,mine,3,"min, mine, mit",157,3.3333333333333335,157,6.3019079685746355,1,33,9
kop,44,44,5.431818181818182,1,25,1,3,Danish,195658,kop,cup,6,"kop, koppen, kruset, kopper, krus, kopperne",85,5.5,85,5.838309566250743,2,55,3
bil,83,83,5.867469879518072,2,63,NA,3,Danish,195658,bil,car,7,"bilen, bil, biler, bille, bilerne, biller, billen",262,5.285714285714286,262,6.5239927374486015,6,151,23
under,55,55,7.472727272727273,1,8,NA,5,Danish,195658,und,under,3,"under, underligt, underlig",63,7.333333333333333,63,8.89090909090909,1,10,0
