word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
sur,8335,8335,8.64499100179964,1,52,708,3,French (Quebecois),2043005,sur,on,5,"sur, dessus, sure, surement, suri",9313,5,9313,9.728006958591987,8,684,720
grenouille,244,244,6.254098360655738,7,148,2,10,French (Quebecois),2043005,grenouill,frog,3,"grenouille, grenouilles, grenouiller",292,10.666666666666666,292,8.191082432275318,7,175,2
qui,15876,15876,7.9388384983623075,97,1107,2663,3,French (Quebecois),2043005,qui,who,1,qui,15876,3,15876,7.9388384983623075,97,1107,2663
pas,35869,35869,8.21559006384343,15,5145,1351,3,French (Quebecois),2043005,pas,not,2,"pas, pasa",35871,3.5,35871,6.107795031921715,15,5145,1351
tu,77620,77620,7.305114661169801,50,1033,37341,2,French (Quebecois),2043005,tu,you,12,"tu, toi, tués, tuer, tue, tuait, tué, tuera, tuée, tuas, tues, tueront",86147,4,86147,9.725992883301323,84,4515,38128
regarder,868,868,8.085253456221198,2,208,19,8,French (Quebecois),2043005,regard,look,20,"regarder, regardé, regardes, regarde, regardées, regardés, regardée, regarderas, regardera, regardez, regardaient, regardait, regardais, regardant, regard, regards, regarderais, regarderai, regarderez, regarda",13768,8.55,13768,7.877114942415287,2618,3070,3820
plus,6225,6225,8.493333333333334,8,1279,207,4,French (Quebecois),2043005,plus,more,1,plus,6225,4,6225,8.493333333333334,8,1279,207
ça,43747,43747,6.7316158822319245,390,15501,9524,2,French (Quebecois),2043005,ça,that,1,ça,43747,2,43747,6.7316158822319245,390,15501,9524
non,24489,24489,5.7235085140267055,4537,5876,9889,3,French (Quebecois),2043005,non,no,3,"non, nonante, none",24496,4.666666666666667,24496,4.4633917268977905,4537,5881,9889
regardé,185,185,9.064864864864864,NA,43,1,7,French (Quebecois),2043005,regard,look,20,"regarder, regardé, regardes, regarde, regardées, regardés, regardée, regarderas, regardera, regardez, regardaient, regardait, regardais, regardant, regard, regards, regarderais, regarderai, regarderez, regarda",13768,8.55,13768,7.877114942415287,2618,3070,3820
