word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,language.y,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
el,26228,26228,NA,281,182,5595,2,Spanish (Mexican),1260545,el,spanish_(mexican),he,2,"el, él",27408,2,27408,NA,292,584,5713
el,26228,26228,NA,281,182,5595,2,Spanish (Mexican),1260545,el,spanish_(mexican),the,5,"el, las, la, los, él",74286,2.4,74286,NA,765,907,12457
si,5663,5663,NA,648,212,1538,2,Spanish (Mexican),1260545,si,spanish_(mexican),yes,2,"si, sí",19294,2,19294,NA,7375,2572,4872
sí,13631,13631,NA,6727,2360,3334,2,Spanish (Mexican),1260545,si,spanish_(mexican),yes,2,"si, sí",19294,2,19294,NA,7375,2572,4872
qué,36528,36528,NA,1409,2844,13867,3,Spanish (Mexican),1260545,que,spanish_(mexican),what,9,"qué, que, qúe, quead, quee, queen, queé, quéé, quée",74316,3.888888888888889,74316,5.357142857142857,1884,3230,21909
eso,7430,7430,NA,623,1795,3054,3,Spanish (Mexican),1260545,eso,spanish_(mexican),that,22,"eso, ese, esa, aquello, aquella, aquel, aquellos, ése, aquellas, ésa, éso, esá, aquéllas, aquél, aquéllos, aquélla, aquéllo, aquell, áquel, esé, esoo, esoos",14034,5.181818181818182,14034,7.080108679130567,956,2650,5394
de,19510,19510,NA,230,231,2678,2,Spanish (Mexican),1260545,de,spanish_(mexican),of,2,"de, dé",19541,2,19541,8.483870967741936,230,238,2678
abejas,13,13,3.6153846153846154,2,7,NA,6,Spanish (Mexican),1260545,abej,spanish_(mexican),bee,2,"abejas, abeja",52,5.5,52,3.935897435897436,5,33,1
ya,8419,8419,NA,547,981,3523,2,Spanish (Mexican),1260545,ya,spanish_(mexican),already,2,"ya, yá",8422,2,8422,5,547,984,3523
ver,2694,2694,NA,21,1066,7,3,Spanish (Mexican),1260545,ver,spanish_(mexican),see,11,"ver, veremos, veríamos, veréis, verá, veré, verías, veras, veros, vera, vero",2761,5.090909090909091,2761,6.129166666666666,23,1100,8
tú,8362,8362,NA,179,2129,2088,2,Spanish (Mexican),1260545,tu,spanish_(mexican),you,4,"tú, te, tu, té",30931,2,30931,NA,365,2333,6179
las,5928,5928,NA,56,41,847,3,Spanish (Mexican),1260545,las,spanish_(mexican),the,5,"el, las, la, los, él",74286,2.4,74286,NA,765,907,12457
