language,form,item_id,item_definition,lexical_category
English (British),TEDS Threes,item_55,kate,other
English (British),TEDS Threes,item_60,about,function_words
English (British),TEDS Threes,item_64,above,function_words
English (British),TEDS Threes,item_94,accident,nouns
English (British),TEDS Twos,item_48,after,function_words
English (British),TEDS Twos,item_57,aeroplane,nouns
English (British),TEDS Twos,item_92,all,function_words
English (British),TEDS Threes,item_84,every,function_words
English (British),TEDS Twos,item_16,allgone,other
English (British),TEDS Threes,item_104,although,function_words
English (British),TEDS Threes,item_111,angry,adjectives
English (British),TEDS Threes,item_68,away,function_words
English (British),TEDS Twos,item_13,baa baa,other
English (British),TEDS Twos,item_69,ball,nouns
English (British),TEDS Threes,item_101,plaster/bandage,nouns
English (British),TEDS Threes,item_81,beads,nouns
English (British),TEDS Twos,item_33,bear,nouns
English (British),TEDS Threes,item_108,because,function_words
English (British),TEDS Twos,item_74,bed,nouns
English (British),TEDS Twos,item_78,bedroom,nouns
English (British),TEDS Threes,item_20,before,function_words
English (British),TEDS Twos,item_80,beside,function_words
English (British),TEDS Threes,item_72,between,function_words
English (British),TEDS Twos,item_37,bird,nouns
English (British),TEDS Twos,item_93,cream cracker,nouns
English (British),TEDS Threes,item_61,cream cracker,nouns
English (British),TEDS Threes,item_71,black,adjectives
English (British),TEDS Twos,item_61,boat,nouns
English (British),TEDS Twos,item_73,book,nouns
English (British),TEDS Threes,item_75,bored,adjectives
English (British),TEDS Twos,item_35,bye/byebye,other
English (British),TEDS Threes,item_110,camping,nouns
English (British),TEDS Twos,item_65,car,nouns
English (British),TEDS Twos,item_55,carry,verbs
English (British),TEDS Threes,item_25,castle,nouns
English (British),TEDS Twos,item_41,cat,nouns
English (British),TEDS Threes,item_15,catch,verbs
English (British),TEDS Twos,item_59,chase,verbs
English (British),TEDS Threes,item_70,child,nouns
English (British),TEDS Twos,item_30,chin,nouns
English (British),TEDS Threes,item_98,circle,nouns
English (British),TEDS Threes,item_50,cloud,nouns
English (British),TEDS Twos,item_20,cold,adjectives
English (British),TEDS Twos,item_50,comb,nouns
English (British),TEDS Threes,item_109,computer,nouns
English (British),TEDS Twos,item_82,settee/sofa,nouns
English (British),TEDS Threes,item_46,settee/sofa,nouns
English (British),TEDS Twos,item_100,could,function_words
English (British),TEDS Threes,item_74,cowboy,nouns
English (British),TEDS Twos,item_52,day,nouns
English (British),TEDS Threes,item_79,deep,adjectives
English (British),TEDS Threes,item_83,different,adjectives
English (British),TEDS Threes,item_13,dinosaur,nouns
English (British),TEDS Twos,item_45,dog,nouns
English (British),TEDS Threes,item_17,donkey,nouns
English (British),TEDS Twos,item_84,down,function_words
English (British),TEDS Threes,item_19,drop,verbs
English (British),TEDS Threes,item_29,drum,nouns
English (British),TEDS Twos,item_49,duck,nouns
English (British),TEDS Threes,item_80,each,function_words
English (British),TEDS Twos,item_34,ear,nouns
English (British),TEDS Threes,item_89,elbow,nouns
English (British),TEDS Threes,item_87,empty,adjectives
English (British),TEDS Threes,item_91,expensive,adjectives
English (British),TEDS Threes,item_78,family,nouns
English (British),TEDS Threes,item_82,farmer,nouns
English (British),TEDS Twos,item_24,fast,adjectives
English (British),TEDS Threes,item_23,fasten,verbs
English (British),TEDS Threes,item_54,fence,nouns
English (British),TEDS Threes,item_95,fine,adjectives
English (British),TEDS Twos,item_67,finish,verbs
English (British),TEDS Twos,item_85,fish,nouns
English (British),TEDS Twos,item_71,fit,adjectives
