language,uni_lemma,item_definition,phons,fixed_phon
Croatian,ga ga,ga-ga,ɡ_a_ɡ_æ,
Croatian,peekaboo,ku-ku (sound),k_u_k_ʊ,
Croatian,beep beep,tu-tu,t_u_t_ʊ,
Croatian,cockadoodledoo,kukuriku,k_u_k_ʊ_r_ɪ_k_ʊ,
Croatian,grrr,grr,ɡ_ə_r_ə_r_ə,ɡ_r
Croatian,meow,mijau,m_i_j_æ_ʊ,
Croatian,moo,muu,m_u_ʊ,
Croatian,ouch,jao,j_a_o,
Croatian,quack quack,kva-kva,k_v_a_k_v_æ,
Croatian,vroom,brr-brr,b__ɾ_r_b__ɾ_r,b_r_b_ɾ
Croatian,woof woof,vau-vau,v_a_ʊ_v_æ_ʊ,
Croatian,yum yum,njam-njam,ɲ_a_m_ɲ_æ_m,
Croatian,baa baa,ga-ga,ɡ_a_ɡ_æ,
Croatian,cockadoodledoo,kukurikuuu,k_u_k_ʊ_r_ɪ_k_ʊ_ʊ_ʊ,k_u_k_ʊ_r_ɪ_k_ʊ
Russian,weee,а-а-а,a_ɑ_a,
Russian,woof woof,ав,ɑ_f,
Russian,hello,алё,a_ɭ_ɵ,
Russian,yum yum,ам-ам/ням-ням,"ɑ_m_ʌ_m, n_ɑ_m_n_ʌ_m",
Russian,baa baa,бе,bʲ_e,
Russian,beep beep,биби,bʲ_i_bʲ_ɪ,
Russian,gobble gobble,бл-бл,b_ɛ_ɛ_ɭ_b_ɛ_ɛ_ɭ,b_ɭ_b_ɭ
Russian,vroom,брр/ввв и т.п.,"b_ɛ_ɛ_r_ɛ_r, v_ɛ_v_ɛ_v_ɛ","b_r, v"
Russian,thump,бух/бах/бам,"b_u_x, b_ɑ_x, b_ɑ_m",
Russian,honk honk,га-га,ɡ_ɑ_ɡ_a,
Russian,ring ring,динь-динь,dʲ_i_n_dʲ_i_n,
Russian,bzzz,жж,ʒ_ɛ_ʒ_ɛ,ʒ
Russian,hee haw,иа,i_a,
Russian,neigh,иго-го/цока-ющий звук,"ɪ_ɡ_o_v_ʌ, ts_ʌ_k_a_ju_ɕ_i_j z_v_u_k",ɪ_ɡ_o_v_ʌ
Russian,drip drop,кап-кап,k_a_p_k_ɑ_p,
Russian,caw,кар,k_ɑ_r,
Russian,croak,ква,k_v_ɑ,
Russian,cluck,ко-ко,k_o_k_ʌ,
Russian,quack quack,кря,k__rʲ_ɑ,
Russian,cockadoodledoo,кукареку,k_u_k_ɑ_rʲ_i_k_u,
Russian,lah lah,ля-ля-ля,ɭ_a_ɭ_ɑ_ɭ_ʌ,
Russian,baa baa,ме,mʲ_e,
Russian,moo,му,m_u,
Russian,meow,мяу,mʲ_ɑ_u,
Russian,squeak,пи-пи,pʲ_i_pʲ_ɪ,
Russian,hop,прыг,p__r_y_k,
Russian,grrr,ррр,ɛ_r_ɛ_r_ɛ_r,r
Russian,tick tock,тик-так,tʲ_i_k_t_ɑ_k,
Russian,stomp stomp,топ-топ,t_ʌ_p_t_o_p,
Russian,shh,тсс,t_ɛ_ɛ_s_ɛ_s,t_ɛ
Russian,knock knock,тук-тук,t_u_k_t_u_k,
Russian,choo choo,ту-ту/чух-чух,"t_u_t_u, tʃʲ_u_x_tʃʲ_u_x",
Russian,awoo,уу,u_u,u
Russian,yucky,фу,f_u,
Russian,oink,хрр/хрю,"x_ɑ_ɛ_r_ɛ_r, x__rʲ_u""","x_r, x_rʲ_u"""
Russian,click,чик,tʃʲ_i_k,
Russian,sss,шш,ʃ_ɑ_ʃ_ɑ,ʃ
Swedish,vroom,brrr,b_eː_ɛ_r_ɛ_r_ɛ_r,b_r
Swedish,baa baa,bä bä,b_ɛː b_ɛː,
Swedish,grrr,grrr,ɡ_eː_ɛ_r_ɛ_r_ɛ_r,ɡ__r
Swedish,cockadoodledoo,kuckeliku,k_ɵ_kː_ə_l_iː_k_ʉ,
Swedish,quack quack,kvack kvack,k_v_a_k k_v_a_k,
Swedish,meow,mjau,m_j_ɑː_ʉ,
Swedish,moo,mu,m_ʉ,
Swedish,yum yum,nam nam,n_ɑː_m n_ɑː_m,
Swedish,choo choo,tuff tuff,t_ɵ_f t_ɵ_f,
Swedish,woof woof,vov vov,v_uː_v v_uː_v,
Swedish,NA,aj aj,ɑː_j ɑː_j,
Swedish,vroom,brr,b_eː_ɛ_r_ɛ_r,b_r
Swedish,grrr,grr,ɡ_eː_ɛ_r_ɛ_r,ɡ_r
Swedish,NA,pip pip,p_iː_p p_iː_p,
Turkish,peekaboo,cee,dʒ_e_ɛ,dʒ_e
Turkish,don't,cıss,dʒ_ɯ_s_s,dʒ_ɯ_s
Turkish,vroom,düt,d_ø_t,
Turkish,yum yum,ham,h_a_m,
Turkish,woof woof,havhav,h_a_v_h_a_v,
Turkish,up,hop/hoppa,"h_ɔ_p, h_ɔ_p_p_a","h_ɔ_p, h_ɔ_p_a"
Turkish,baa baa,mee,m_e_ɛ,
Turkish,moo,möö,m_œ_œ,m_œ
Turkish,meow,pisi-pisi,p_i_s_i_p_i_s_ɪ,
Turkish,ouch,uf,ʊ_f,
Turkish,NA,çufçuf,tʃ_ʊ_f_tʃ_ʊ_f,
Turkish,NA,şişt,ʃ_ɪ_ʃ_t,
Turkish,NA,vak vak,v_a_k v_a_k,
Turkish,vroom,vınn,v_ɯ_n_n,v_ɯ_n
Danish,ouch,av,ɑ_u,
Danish,meow,mjav,m_j_ɑ_w,
Danish,quack quack,rap,ʁ_?ɑ_p,
Danish,choo choo,fut,f_ʔu_t,
Danish,moo,muh,m_ʔu,
Danish,woof woof,vov,ʋ_ɔ_w,
Danish,grrr,grrrr,ɡ_e_ɛ_ʁ_ɛ_ʁ_ɛ_ʁ_ɛ_ɐ̯,ɡ_ʁ
Danish,baa baa,mæh,m_ε,
Danish,vroom,årnnn (bil-lyd),ɒ_ɐ̯_n_n_n,ɒ_ɐ̯_n
Danish,cockadoodledoo,kykliky,k_ʔy_k_l_ʔi_k_ʔy,
Danish,yum yum,mm mm (lækkert),ɛ_m_ɛ_m ɛ_m_ɛ_m,m
French (Quebec),woof woof,wouf wouf,_w_u_f _w_u_f,
French (Quebec),vroom,vroum,v_ʁ_u_m,
French (Quebec),choo choo,tchou tchou,t_ʃ_u t_ʃ_u,
French (Quebec),ouch,aïe,a_j,
French (Quebec),uh oh,oh oh,ɔ ɔ,
French (Quebec),yum yum,miam miam,m_j_a_m m_j_a_m,
French (Quebec),meow,miaou,m_j_a_u,
French (Quebec),moo,meuh,m_œ,
