id,word,language,form,type,category,lexical_category,lexical_class,uni_lemma,aoa_in_seconds,aoa,lemma,stem_lemma,corrected_pos,on_cdi
0,daddy (child's word),English (American),WG,daddy+n,people,other,other,daddy,29808000,345,daddy,daddy,n,TRUE
1,mommy (child's word),English (American),WG,mommy+n,people,other,other,mommy,30240000,350,mommy,mommy,n,TRUE
2,bye,English (American),WG,bye+other,games_routines,other,other,bye,35164800,407,bye,bye,other,TRUE
3,uh oh,English (American),WG,uh oh+other,sounds,other,other,uh oh,36374400,421,uh oh,uh oh,other,TRUE
4,hi,English (American),WG,hi+other,games_routines,other,other,hi,37238400,431,hi,hi,other,TRUE
5,ball,English (American),WG,ball+n,toys,nouns,nouns,ball,37411200,433,ball,ball,n,TRUE
6,dog,English (American),WG,dog+n,animals,nouns,nouns,dog,38966400,451,dog,dog,n,TRUE
7,no,English (American),WG,no+other,games_routines,other,other,no,39312000,455,no,no,other,TRUE
8,woof woof,English (American),WG,woof woof+other,sounds,other,other,woof woof,39916800,462,woof woof,woof woof,other,TRUE
9,yum yum,English (American),WG,yum yum+other,sounds,other,other,yum yum,41040000,475,yum yum,yum yum,other,TRUE
10,baby,English (American),WG,baby+n,people,other,other,baby,41212800,477,baby,baby,n,TRUE
11,book,English (American),WG,book+n,toys,nouns,nouns,book,41990400,486,book,book,n,TRUE
12,grrr,English (American),WG,grrr+other,sounds,other,other,grrr,42076800,487,grrr,grrr,other,TRUE
13,moo,English (American),WG,moo+other,sounds,other,other,moo,42076800,487,moo,moo,other,TRUE
14,meow,English (American),WG,meow+v,sounds,other,other,meow,42595200,493,meow,meow,v,TRUE
15,banana,English (American),WG,banana+n,food_drink,nouns,nouns,banana,42595200,493,banana,banana,n,TRUE
16,vroom,English (American),WS,vroom+other,sounds,other,other,vroom,42595200,493,vroom,vroom,other,TRUE
17,shoe,English (American),WG,shoe+n,clothing,nouns,nouns,shoe,42940800,497,shoe,shoe,n,TRUE
18,duck,English (American),WS,duck+n,animals,nouns,nouns,duck,43372800,502,duck,duck,n,TRUE
19,bird,English (American),WS,bird+n,animals,nouns,nouns,bird,43545600,504,bird,bird,n,TRUE
20,eye,English (American),WS,eye+n,body_parts,nouns,nouns,eye,43977600,509,eye,eye,n,TRUE
21,nose,English (American),WS,nose+n,body_parts,nouns,nouns,nose,44150400,511,nose,nose,n,TRUE
