"wn_pos","word_type","child_entropy","child_count","adult_entropy","adult_count"
"a","awake+a",0,23,0,23
"a","back+a",2.03061899484852,28,1.91002398118303,28
"a","bad+a",2.20496214285857,51,1.85141793225786,51
"a","big+a",0.48881527620658,464,0.730868925859225,464
"a","black+a",0.934245309447045,47,0.710766890202288,47
"a","blue+a",0.219112098643412,224,0.381735786450229,224
"a","brown+a",0.0700120504953614,119,0.0700120504953614,119
"a","careful+a",0,19,0,19
"a","clean+a",0.676014388054063,82,1.12013390476555,82
"a","close+a",1.90654942173316,33,2.19796504687672,33
"a","cold+a",0.29747224891929,38,1.01591808337273,38
"a","cute+a",0,4,0,4
"a","dark+a",1.07491958355577,47,0.958987008886884,47
"a","dirty+a",0.257933032476548,149,0.40351208349191,149
"a","dry+a",1.34475707869773,36,0.816689088315021,36
"a","empty+a",0.347816913571063,46,0.151096970517114,46
"a","fast+a",1.05824461469803,82,1.23219119092601,82
"a","fine+a",0,13,0,13
"a","first+a",0.951086479923388,31,1.90038048779338,31
"a","full+a",1.42032838882518,50,1.56863828798718,50
"a","gentle+a",1.35164411515339,9,1.39214722366453,9
"a","good+a",2.48786974627275,279,2.91266180485377,279
"a","green+a",0.0940844388326735,83,0.163860512869158,83
"a","happy+a",1.25798044132286,173,0.726906045481598,173
"a","hard+a",1.29012085274115,26,0.468166640552333,26
"a","head+a",0,5,0,5
"a","heavy+a",0.420735767907422,115,0.287401692989056,115
"a","high+a",0,94,0.422354995932083,94
"a","hot+a",0.112360710099377,200,0.765154435696087,200
"a","hungry+a",0,92,0,92
"a","inside+a",1.69684280347739,24,1.73065027305374,24
"a","little+a",2.19483907087065,322,2.35753099210604,322
"a","long+a",1.13069764404644,76,1.29778496987925,76
"a","loud+a",0,32,0,32
"a","mad+a",0.918295834054489,6,1.45914791702725,6
"a","naughty+a",0,137,0,137
"a","new+a",2.12228257891518,168,1.78186416759164,168
"a","nice+a",0.524372099804198,208,0.950833569504515,208
"a","noisy+a",0.423680571570911,58,0.29367630985137,58
"a","nuts+a",0.866313713864835,25,1.0154312795576,25
"a","old+a",1.63778455309739,91,2.16859658718046,91
"a","open+a",2.22335107489232,73,2.70872046300068,73
"a","orange+a",1.09556132111422,109,0.899349359694669,109
"a","out+a",0,1,0,1
"a","outside+a",0,3,0.918295834054489,3
"a","pajama+a",0,16,0,16
"a","potty+a",1.08271351699813,82,1.05120100020778,82
