item_id,category,definition,gloss,uni_lemma,language
item_1,sounds,beee,baa baa (sheep),baa baa,Hungarian
item_2,sounds,brekeke,ribbit (frog),,Hungarian
item_3,sounds,brumm,grrr (bear),grrr,Hungarian
item_4,sounds,cin,squeak (mouse),squeak,Hungarian
item_5,sounds,csihuhu,choo-choo (train),choo choo,Hungarian
item_6,sounds,gá-gá,honk (goose),,Hungarian
item_7,sounds,háp-háp,quack quack (duck),quack quack,Hungarian
item_8,sounds,ham-ham,yum yum,yum yum,Hungarian
item_9,sounds,hoppá,oops,,Hungarian
item_10,sounds,hu-hu,whoo-whoo (owl),,Hungarian
item_11,sounds,jaj,ouch,ouch,Hungarian
item_12,sounds,kukurikú,cockadoodledoo (rooster),cockadoodledoo,Hungarian
item_13,sounds,mak,squeak (rabbit),squeak,Hungarian
item_14,sounds,mek,naa (goat),,Hungarian
item_15,sounds,miaú,meow (cat),meow,Hungarian
item_16,sounds,mú,moo (cow),moo,Hungarian
item_17,sounds,nyamm,yum yum,yum yum,Hungarian
item_18,sounds,nyihaha,neigh (horse),neigh,Hungarian
item_19,sounds,nínó,wee-woo (ambulance),,Hungarian
item_20,sounds,pá-pá,bye-bye (goodbye),,Hungarian
item_21,sounds,pi-pi,chirp (chicken),,Hungarian
item_22,sounds,tü-tű,honk (car horn),,Hungarian
item_23,sounds,röf-röf,oink (pig),oink,Hungarian
item_24,sounds,vaú-vaú,woof woof,woof woof,Hungarian
item_25,animals,állat,animal,animal,Hungarian
item_26,animals,bagoly,owl,owl,Hungarian
item_27,animals,bárány,sheep,sheep,Hungarian
item_28,animals,béka,frog,frog,Hungarian
item_29,animals,boci,calf,calf,Hungarian
item_30,animals,bogár,bug,bug,Hungarian
item_31,animals,cica,kitty,kitty,Hungarian
item_32,animals,csacsi,neddy,,Hungarian
item_33,animals,csirke,chicken,chicken (animal),Hungarian
item_34,animals,egér,mouse,mouse,Hungarian
item_35,animals,elefánt,elephant,elephant,Hungarian
item_36,animals,farkas,wolf,wolf,Hungarian
item_37,animals,hal,fish,fish (animal),Hungarian
item_38,animals,hangya,ant,ant,Hungarian
item_39,animals,kacsa,duck,duck,Hungarian
item_40,animals,kakas,rooster,rooster,Hungarian
item_41,animals,kecske,goat,goat,Hungarian
item_42,animals,krokodil,alligator,,Hungarian
item_43,animals,kutya,dog,dog,Hungarian
item_44,animals,lepke,butterfly,butterfly,Hungarian
item_45,animals,liba,goose,goose,Hungarian
item_46,animals,ló,horse,horse,Hungarian
item_47,animals,macska,cat,cat,Hungarian
item_48,animals,madár,bird,bird,Hungarian
item_49,animals,majom,monkey,monkey,Hungarian
item_50,animals,malac,pig,pig,Hungarian
