"","item_id","definition","category","uni_lemma","language"
"1","item_1","Ah! (surpresa)","sounds","","Portuguese (European)"
"2","item_2","Ai!","sounds","ouch","Portuguese (European)"
"3","item_3","Au Au / Ão Ão (cão)","sounds","woof woof","Portuguese (European)"
"4","item_4","Chiu!","sounds","shh","Portuguese (European)"
"5","item_5","Cócórócó (galo / galinha)","sounds","cockadoodledoo","Portuguese (European)"
"6","item_6","Cu-cu","sounds","peekaboo","Portuguese (European)"
"7","item_7","Eh!","sounds","","Portuguese (European)"
"8","item_8","Ena!","sounds","","Portuguese (European)"
"9","item_9","Hi-hi (cavalo)","sounds","","Portuguese (European)"
"10","item_10","I-ó / I-ó (burro)","sounds","","Portuguese (European)"
"11","item_11","Mé mé (ovelha)","sounds","baa baa","Portuguese (European)"
"12","item_12","Miau miau (gato)","sounds","meow","Portuguese (European)"
"13","item_13","Mu-Muuu (vaca)","sounds","moo","Portuguese (European)"
"14","item_14","Oh!","sounds","oh","Portuguese (European)"
"15","item_15","Piu-piu (pintainho)","sounds","peep peep","Portuguese (European)"
"16","item_16","Pumba! / Pum!","sounds","uh oh","Portuguese (European)"
"17","item_17","Quá-Quá (pato)","sounds","quack quack","Portuguese (European)"
"18","item_18","Vrum-vrum (carro)","sounds","vroom","Portuguese (European)"
"19","item_19","Tinoni (ambulância)","sounds","","Portuguese (European)"
"20","item_20","Ui!","sounds","ouch","Portuguese (European)"
"21","item_21","Uau!","sounds","","Portuguese (European)"
"22","item_22","Upa, upa (levantar)","sounds","","Portuguese (European)"
"23","item_23","Abelha","animals","bee","Portuguese (European)"
"24","item_24","Bicho","animals","animal","Portuguese (European)"
"25","item_25","Boi","animals","","Portuguese (European)"
"26","item_26","Burro","animals","donkey","Portuguese (European)"
"27","item_27","Cão","animals","dog","Portuguese (European)"
"28","item_28","Cavalo","animals","horse","Portuguese (European)"
"29","item_29","Cobra","animals","snake","Portuguese (European)"
"30","item_30","Coelho","animals","rabbit","Portuguese (European)"
"31","item_31","Elefante","animals","elephant","Portuguese (European)"
"32","item_32","Gato","animals","cat","Portuguese (European)"
"33","item_33","Leão","animals","lion","Portuguese (European)"
"34","item_34","Macaco","animals","monkey","Portuguese (European)"
"35","item_35","Mosca","animals","fly","Portuguese (European)"
"36","item_36","Panda","animals","","Portuguese (European)"
"37","item_37","Pássaro","animals","bird","Portuguese (European)"
"38","item_38","Pato","animals","duck","Portuguese (European)"
"39","item_39","Peixe","animals","fish (animal)","Portuguese (European)"
"40","item_40","Porco","animals","pig","Portuguese (European)"
"41","item_41","Rato","animals","mouse","Portuguese (European)"
"42","item_42","Urso","animals","bear","Portuguese (European)"
"43","item_43","Vaca","animals","cow","Portuguese (European)"
"44","item_44","Avião","vehicles","airplane","Portuguese (European)"
"45","item_45","Barco","vehicles","boat","Portuguese (European)"
"46","item_46","Bicicleta","vehicles","bicycle","Portuguese (European)"
"47","item_47","Camião","vehicles","truck","Portuguese (European)"
"48","item_48","Carro","vehicles","car","Portuguese (European)"
"49","item_49","Comboio","vehicles","train","Portuguese (European)"
"50","item_50","Moto/a","vehicles","motorcycle","Portuguese (European)"
"51","item_51","Trator","vehicles","tractor","Portuguese (European)"
"52","item_52","Triciclo","vehicles","tricycle","Portuguese (European)"
"53","item_53","Bola","toys","ball","Portuguese (European)"
"54","item_54","Boneca","toys","doll","Portuguese (European)"
"55","item_55","Jogos","toys","","Portuguese (European)"
"56","item_56","Lápis","toys","pencil","Portuguese (European)"
"57","item_57","Legos","toys","","Portuguese (European)"
"58","item_58","Livro","toys","book","Portuguese (European)"
"59","item_59","Peluche / Urso de Peluche","toys","teddybear","Portuguese (European)"
"60","item_60","Água","food_drink","water","Portuguese (European)"
"61","item_61","Arroz","food_drink","rice","Portuguese (European)"
"62","item_62","Banana","food_drink","banana","Portuguese (European)"
"63","item_63","Batatas","food_drink","potato","Portuguese (European)"
"64","item_64","Bolachas","food_drink","cookie","Portuguese (European)"
"65","item_65","Bolo","food_drink","cake","Portuguese (European)"
"66","item_66","Café","food_drink","coffee","Portuguese (European)"
"67","item_67","Carne","food_drink","meat","Portuguese (European)"
"68","item_68","Chocolate","food_drink","chocolate","Portuguese (European)"
"69","item_69","Chupa-chupa","food_drink","lollipop","Portuguese (European)"
"70","item_70","Coca-cola","food_drink","soda","Portuguese (European)"
"71","item_71","Comida","food_drink","food","Portuguese (European)"
"72","item_72","Gelado","food_drink","ice cream","Portuguese (European)"
"73","item_73","Iogurte","food_drink","yogurt","Portuguese (European)"
"74","item_74","Leite","food_drink","milk","Portuguese (European)"
"75","item_75","Maçã","food_drink","apple","Portuguese (European)"
"76","item_76","Massa","food_drink","pasta","Portuguese (European)"
"77","item_77","Pão","food_drink","bread","Portuguese (European)"
"78","item_78","Papa","food_drink","porridge","Portuguese (European)"
