iso_codes,n_feat,cwals_new,id,genus,name
aar,5,0.25,qaf,Lowland East Cushitic,Qafar
abb,1,1,bnk,Bantoid,Bankon
abk,28,0.671768707,abk,Northwest Caucasian,Abkhaz
abq,1,1,abz,Northwest Caucasian,Abaza
abt,6,0.333333333,amb,Ndu,Ambulas
abz,7,0.428571429,abv,Greater Alor,Abui
aca,6,0.833333333,acg,Inland Northern Arawakan,Achagua
ace,14,0.142857143,ace,Malayo-Sumbawan,Acehnese
ach,9,0.777777778,acl,Nilotic,Acholi
acm,10,0.8,arq,Semitic,Arabic (Iraqi)
acu,6,1,acu,Jivaroan,Achuar
acv,5,0.8,acm,Palaihnihan,Achumawi
adi,4,0.916666667,boj,Tani,Bori
adj,8,0.5,adi,Kwa,Adioukrou
adn,7,0.142857143,adg,Greater Alor,Adang
adt,5,0.6,adn,Central Pama-Nyungan,Adynyamathanha
adx,1,1,amd,Bodic,Amdo
ady,2,0.888888889,adt,Northwest Caucasian,Adyghe (Temirgoy)
adz,2,0.5,adz,Oceanic,Adzera
aeb,3,0.444444444,atu,Semitic,Arabic (Tunisian)
aer,12,0.605555556,amp,Central Pama-Nyungan,Arrernte (Mparntwe)
aes,1,1,als,Alsea,Alsea
aey,27,0.409876543,ame,Madang,Amele
afb,10,0.475,arg,Semitic,Arabic (Gulf)
afn,1,0.5,def,Ijoid,Defaka
afr,4,0.083333333,afr,Germanic,Afrikaans
agb,2,0.5,agb,Cross River,Leggbó
agd,6,0.888888889,aga,Eastern Highlands,Agarabi
agg,8,0.5,ang,Senagi,Anggor
agh,2,0.5,leb,Bantoid,Lebeo
agq,2,0,agh,Bantoid,Aghem
agr,1,0,agr,Jivaroan,Aguaruna
agt,8,0.625,agc,Greater Central Philippine,Agta (Central)
agx,2,0.5,agl,Lezgic,Aghul
ahg,7,1,kem,Central Cushitic,Kemant
ahk,6,0.166666667,akh,Burmese-Lolo,Akha
aia,7,0.285714286,aro,Oceanic,Arosi
aie,1,1,ama,Oceanic,Amara
aij,10,0.7,naj,Semitic,Neo-Aramaic (Arbel Jewish)
ain,25,0.450666667,ain,NA,Ainu
aiw,9,0.666666667,aar,South Omotic,Aari
aja,2,1,aja,Kresh,Aja
ajg,4,0.5,ajg,Kwa,Ajagbe
aji,1,1,aji,Oceanic,Ajië
ajp,1,0,apa,Semitic,Arabic (Palestinian)
aka,14,0.619047619,akn,Kwa,Akan
akc,4,0.5,mpu,Kebar,Mpur
akr,1,0,ark,Oceanic,Araki
akz,2,1,abm,Muskogean,Alabama
alc,8,0.267857143,qaw,Alacalufan,Qawasqar
ale,7,0.734693878,aea,Aleut,Aleut (Eastern)
alh,14,0.666666667,alw,Alawa,Alawa
aln,17,0.593837535,NA,NA,NA
alo,1,1,lrk,Central Malayo-Polynesian,Larike
alp,9,0.333333333,aln,Central Malayo-Polynesian,Alune
alr,1,0,alu,Northern Chukotko-Kamchatkan,Alutor
