original,BermanLong,Ravid,Naama,BSF,BatEl,Levy
א,ʔ,ʔ,,,,
ב,b,b,b,b,b,b
ב,v,v,,,,
ג‎,g,g,g,g,g,g
ג‎,ʝ,ʝ,,j,j,j
ד,d,d,d,d,d,d
ה,h,h,h,h,h,h
ו,w,w,v,v,v,v
ו,,,w,w,w,w
ו,,,u,u,u,u
ו,,,o,o,o,o
ז,z,z,z,z,z,z
ז,ž,ž,,,,
ח,x,x,x,x,x,x
ט,ṭ,ṭ,,,,
י‎,y,y,y,y,y,y
י‎,,,i,i,i,i
כ,k,k,,,,
כ,ḳ,ḳ,,,,
ל,l,l,l,l,l,l
מ,m,m,m,m,m,m
נ,n,n,n,n,n,n
ס,s,s,,,,
ע,ʕ,ʕ,',',','
פ,p,p,p,p,p,p
פ,f,f,f,f,f,f
צ,c,c,c,c,c,c
צ,ç,ç,,,,
צ,tS,tS,,,ts,
ק,q,q,,,,
ר,r,r,r,r,r,r
"ש‎	",š,š,sh,sh,sh,sh
"ש‎	",ṣ,ṣ,,,,
ת,t,t,,,,
[ב/ו],,,v,v,v,v
[כ/ק],,,k,k,k,k
[ס/ש],,,s,s,s,s
[ט/ת],,,t,t,t,t
[א/ע],,,ʔ,ʔ,ʔ,ʔ
,a,a,a,a,a,a
,e,e,e,e,e,e
,i,i,,,,
,o,o,,,,
,u,u,,,,
ך,,,,,,
ם,,,,,,
ן,,,,,,
ף,,,,,,
ץ,,,,,,
