"","word","wordcount","freq","mlu","solo","last","first","charactercount","language","totalcount"
"1","guardiamo",37,0.000431094747634805,6.45945945945946,NA,3,13,9,"Italian",85828
"2","se",389,0.00453232045486322,9.66323907455013,1,10,46,2,"Italian",85828
"3","è",3003,0.0349885818147924,7.02830502830503,1,424,358,1,"Italian",85828
"4","uguale",4,4.6604837582141e-05,8.25,NA,3,NA,6,"Italian",85828
"5","prendi",45,0.000524304422799086,6.08888888888889,NA,5,17,6,"Italian",85828
"6","l'",655,0.00763154215407559,7.50839694656489,NA,NA,143,2,"Italian",85828
"7","altro",158,0.00184089108449457,8.18987341772152,1,42,1,5,"Italian",85828
"8","di",995,0.0115929533485576,8.86231155778894,1,12,82,2,"Italian",85828
"9","orsetti",3,3.49536281866058e-05,7,NA,1,NA,7,"Italian",85828
"10","lo",503,0.00586055832595423,7.04572564612326,1,5,109,2,"Italian",85828
"11","spogli",2,2.33024187910705e-05,6.5,NA,NA,NA,6,"Italian",85828
"12","cosa",1098,0.0127930279162977,5.51366120218579,46,82,378,4,"Italian",85828
"13","fai",213,0.00248170760124901,6.17370892018779,NA,41,43,3,"Italian",85828
"14","e",2037,0.0237335135387053,8.38635247913598,2,13,1202,1,"Italian",85828
"15","perché",227,0.0026448245327865,9.01321585903084,11,20,71,6,"Italian",85828
"16","si",737,0.00858694132450948,8.32428765264586,3,6,109,2,"Italian",85828
"17","bagnato",10,0.000116512093955353,9.2,NA,4,NA,7,"Italian",85828
"18","anche",446,0.00519643939040872,8.39013452914798,2,21,86,5,"Italian",85828
"19","quello",375,0.00436920352332572,7.67466666666667,2,28,119,6,"Italian",85828
"20","allora",341,0.00397306240387752,7.18181818181818,30,28,194,6,"Italian",85828
"21","il",1826,0.0212751083562474,7.80010952902519,11,50,321,2,"Italian",85828
"22","pelo",6,6.99072563732115e-05,11.1666666666667,NA,NA,NA,4,"Italian",85828
"23","quell'",36,0.000419443538239269,8.91666666666667,NA,NA,2,6,"Italian",85828
"24","orsetto",91,0.00106026005499371,7.75824175824176,2,44,NA,7,"Italian",85828
"25","lì",295,0.0034371067716829,6.82372881355932,1,141,9,2,"Italian",85828
"26","morbido",9,0.000104860884559817,7.77777777777778,NA,7,NA,7,"Italian",85828
"27","ce",143,0.00166612294356154,9.23776223776224,NA,NA,23,2,"Italian",85828
"28","ha",426,0.00496341520249802,8.62206572769953,NA,11,26,2,"Italian",85828
"29","la",2166,0.0252365195507294,7.61957525392428,15,33,468,2,"Italian",85828
"30","bocchina",1,1.16512093955353e-05,5,NA,1,NA,8,"Italian",85828
"31","gli",241,0.002807941464324,8.51867219917012,NA,1,43,3,"Italian",85828
"32","occhietti",1,1.16512093955353e-05,2,NA,1,NA,9,"Italian",85828
"33","le",619,0.00721209861583632,7.58642972536349,2,9,134,2,"Italian",85828
"34","zampine",1,1.16512093955353e-05,4,NA,NA,NA,7,"Italian",85828
"35","nasino",5,5.82560469776763e-05,5.8,NA,4,NA,6,"Italian",85828
"36","hm",28,0.000326233863074987,1.32142857142857,25,NA,3,2,"Italian",85828
"37","funziona",9,0.000104860884559817,6.33333333333333,NA,2,1,8,"Italian",85828
"38","ma",599,0.00697907442792562,8.19031719532554,6,6,337,2,"Italian",85828
"39","a",859,0.0100083888707648,8.49126891734575,3,9,106,1,"Italian",85828
"40","noi",30,0.000349536281866058,8.6,NA,8,4,3,"Italian",85828
"41","non",1399,0.0163000419443538,8.04932094353109,1,1,445,3,"Italian",85828
"42","ci",349,0.0040662720790418,8.810888252149,NA,NA,42,2,"Italian",85828
"43","interessa",7,8.15584657687468e-05,6.42857142857143,NA,2,NA,9,"Italian",85828
"44","avevamo",11,0.000128163303350888,10.1818181818182,NA,NA,NA,7,"Italian",85828
"45","un",1215,0.0141562194155753,7.70452674897119,10,34,193,2,"Italian",85828
"46","ancora",295,0.0034371067716829,6.73898305084746,32,52,39,6,"Italian",85828
"47","oltre",19,0.00022137297851517,8.78947368421053,NA,2,3,5,"Italian",85828
"48","questi",271,0.00315747774619005,7.33210332103321,1,35,61,6,"Italian",85828
"49","questo",866,0.0100899473365335,6.98152424942263,23,120,214,6,"Italian",85828
"50","guarda",361,0.00420608659178823,7.28254847645429,9,32,202,6,"Italian",85828
"51","secondo",32,0.000372838700657128,8.28125,NA,1,7,7,"Italian",85828
"52","me",77,0.000897143123456215,7.88311688311688,1,18,5,2,"Italian",85828
"53","più",291,0.00339050193410076,9.0446735395189,NA,48,18,3,"Italian",85828
"54","com'",98,0.00114181852076246,6.53061224489796,NA,NA,40,4,"Italian",85828
"55","adesso",420,0.00489350794612481,7.40714285714286,4,57,137,6,"Italian",85828
"56","che",1933,0.0225217877615697,8.6751163993792,NA,12,278,3,"Italian",85828
"57","hanno",92,0.00107191126438924,9.43478260869565,NA,7,10,5,"Italian",85828
"58","tutto",150,0.00174768140933029,7.44,NA,27,15,5,"Italian",85828
"59","asciugato",3,3.49536281866058e-05,12.3333333333333,NA,2,NA,9,"Italian",85828
"60","vieni",126,0.00146805238383744,6.31746031746032,1,18,69,5,"Italian",85828
"61","vedere",122,0.0014214475462553,6.78688524590164,NA,24,1,6,"Italian",85828
"62","lungo",34,0.000396141119448199,7.70588235294118,NA,27,NA,5,"Italian",85828
"63","poi",435,0.00506827608705784,8.15632183908046,9,53,102,3,"Italian",85828
"64","sai",282,0.00328564104954094,6.97517730496454,21,59,76,3,"Italian",85828
"65","in",572,0.00666449177424617,8.9493006993007,NA,4,77,2,"Italian",85828
"66","fondo",23,0.000267977816097311,7.65217391304348,NA,11,NA,5,"Italian",85828
"67","canta",6,6.99072563732115e-05,6.33333333333333,NA,1,1,5,"Italian",85828
"68","canzoncina",10,0.000116512093955353,5.5,1,6,NA,10,"Italian",85828
"69","bello",61,0.000710723773127651,5.57377049180328,2,21,6,5,"Italian",85828
