"","word","freq","logfreq","mlu","wordcount","args"
"1","'un",3.40078217990138e-06,-12.5915050998881,5,3,"Italian"
"2","a",0.0128413535113076,-4.35508457262271,8.86387711864407,1,"Italian"
"3","A",1.36031287196055e-05,-11.2052107387682,8,1,"Italian"
"4","a'",1.70039108995069e-05,-10.982067187454,7.6,2,"Italian"
"5","aaah",3.40078217990138e-06,-12.5915050998881,3,4,"Italian"
"6","aaam",3.40078217990138e-06,-12.5915050998881,11,4,"Italian"
"7","aah",9.86226832171399e-05,-9.22420926990163,5.13793103448276,3,"Italian"
"8","aamm",3.40078217990138e-06,-12.5915050998881,10,4,"Italian"
"9","Ababwa",3.40078217990138e-06,-12.5915050998881,2,6,"Italian"
"10","abbaia",2.38054752593096e-05,-10.6455949508328,4.14285714285714,6,"Italian"
"11","abbaiando",1.02023465397041e-05,-11.49289281122,9.66666666666667,9,"Italian"
"12","abbaiano",6.80156435980275e-06,-11.8983579193282,15,8,"Italian"
"13","abbaiare",1.02023465397041e-05,-11.49289281122,10.3333333333333,8,"Italian"
"14","abbaiava",6.80156435980275e-06,-11.8983579193282,3.5,8,"Italian"
"15","abbandonare",3.40078217990138e-06,-12.5915050998881,9,11,"Italian"
"16","abbandonata",6.80156435980275e-06,-11.8983579193282,17.5,11,"Italian"
"17","abbandoniamo",3.40078217990138e-06,-12.5915050998881,6,12,"Italian"
"18","abbassare",6.80156435980275e-06,-11.8983579193282,16,9,"Italian"
"19","abbassi",3.40078217990138e-06,-12.5915050998881,15,7,"Italian"
"20","abbasso",3.40078217990138e-06,-12.5915050998881,3,7,"Italian"
"21","abbastanza",0.000108825029756844,-9.12576919708838,10.96875,10,"Italian"
"22","abbeverare",3.40078217990138e-06,-12.5915050998881,12,10,"Italian"
"23","abbi",1.02023465397041e-05,-11.49289281122,8.33333333333333,4,"Italian"
"24","abbia",5.4412514878422e-05,-9.81891637764832,11,5,"Italian"
"25","abbiam",1.36031287196055e-05,-11.2052107387682,5.5,6,"Italian"
"26","abbiamo",0.000952219010372386,-6.95671549671885,8.94642857142857,7,"Italian"
"27","abbiano",3.40078217990138e-06,-12.5915050998881,5,7,"Italian"
"28","abbocca",3.40078217990138e-06,-12.5915050998881,5,7,"Italian"
"29","abbottonaglieli",3.40078217990138e-06,-12.5915050998881,7,15,"Italian"
"30","abbottoniamo",3.40078217990138e-06,-12.5915050998881,5,12,"Italian"
"31","abbracci",3.40078217990138e-06,-12.5915050998881,3,8,"Italian"
"32","abbraccia",2.7206257439211e-05,-10.5120635582083,6.375,9,"Italian"
