"","X1","word","wordcount","freq","mlu","solo","last","first","charactercount","language","totalcount","stem","uni_lemma","nb_realisations_lemma","words_lemma","sum_wordcount_lemma","mean_character_count_lemma","sum_freq","mean_mlu_lemma","sum_solo_lemma","sum_last_lemma","sum_first_lemma"
"1",5,"prendi",2,0.000499001996007984,4.5,NA,NA,1,6,"Italian",4008,"prend","take",8,"prendi, prendiamo, prendere, prende, prenderla, prendeva, prendo, prenderlo",16,7.625,0.00399201596806387,7.47916666666667,0,3,2
"2",7,"altro",9,0.00224550898203593,7.66666666666667,NA,2,NA,5,"Italian",4008,"altro","another",1,"altro",9,5,0.00224550898203593,7.66666666666667,0,2,0
"3",8,"di",33,0.00823353293413174,8.87878787878788,NA,NA,4,2,"Italian",4008,"di","of",1,"di",33,2,0.00823353293413174,8.87878787878788,0,0,4
"4",10,"lo",45,0.0112275449101796,6.86666666666667,NA,NA,13,2,"Italian",4008,"lo","the",6,"lo, il, la, gli, le, i",302,2,0.0753493013972055,7.63530479567714,0,2,55
"5",17,"bagnato",5,0.00124750499001996,10,NA,3,NA,7,"Italian",4008,"bagn","bath",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"6",17,"bagnato",5,0.00124750499001996,10,NA,3,NA,7,"Italian",4008,"bagn","bathroom",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"7",17,"bagnato",5,0.00124750499001996,10,NA,3,NA,7,"Italian",4008,"bagn","wet (description)",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"8",19,"quello",15,0.00374251497005988,8,NA,4,4,6,"Italian",4008,"quell","that",5,"quello, a, quella, quelle, quelli",86,5,0.0214570858283433,8.20288461538462,0,5,8
"9",21,"il",80,0.0199600798403194,8.1,NA,1,13,2,"Italian",4008,"il","the",6,"lo, il, la, gli, le, i",302,2,0.0753493013972055,7.63530479567714,0,2,55
"10",26,"morbido",7,0.00174650698602794,9,NA,6,NA,7,"Italian",4008,"morbid","soft",1,"morbido",7,7,0.00174650698602794,9,0,6,0
"11",29,"la",94,0.0234530938123752,7.51063829787234,NA,NA,18,2,"Italian",4008,"la","the",6,"lo, il, la, gli, le, i",302,2,0.0753493013972055,7.63530479567714,0,2,55
"12",31,"gli",21,0.00523952095808383,7.80952380952381,NA,NA,5,3,"Italian",4008,"gli","the",6,"lo, il, la, gli, le, i",302,2,0.0753493013972055,7.63530479567714,0,2,55
"13",33,"le",22,0.00548902195608782,7,NA,1,4,2,"Italian",4008,"le","the",6,"lo, il, la, gli, le, i",302,2,0.0753493013972055,7.63530479567714,0,2,55
"14",39,"a",52,0.0129740518962076,8.57692307692308,NA,NA,3,1,"Italian",4008,"a","at",1,"a",52,1,0.0129740518962076,8.57692307692308,0,0,3
"15",39,"a",52,0.0129740518962076,8.57692307692308,NA,NA,3,1,"Italian",4008,"a","boy",1,"a",52,1,0.0129740518962076,8.57692307692308,0,0,3
"16",39,"a",52,0.0129740518962076,8.57692307692308,NA,NA,3,1,"Italian",4008,"a","child",6,"a, bambini, bimbi, bimba, bimbo, bambino",103,5,0.0256986027944112,8.56496697746698,0,18,3
"17",39,"a",52,0.0129740518962076,8.57692307692308,NA,NA,3,1,"Italian",4008,"a","cousin",1,"a",52,1,0.0129740518962076,8.57692307692308,0,0,3
"18",39,"a",52,0.0129740518962076,8.57692307692308,NA,NA,3,1,"Italian",4008,"a","his",3,"a, suo, suoi",61,2.66666666666667,0.0152195608782435,8.23397435897436,0,0,3
"19",39,"a",52,0.0129740518962076,8.57692307692308,NA,NA,3,1,"Italian",4008,"a","my",2,"a, mio",53,2,0.0132235528942116,8.78846153846154,0,0,3
"20",39,"a",52,0.0129740518962076,8.57692307692308,NA,NA,3,1,"Italian",4008,"a","sir",3,"a, signori, signore",55,5,0.0137225548902196,7.85897435897436,0,1,3
"21",39,"a",52,0.0129740518962076,8.57692307692308,NA,NA,3,1,"Italian",4008,"a","teacher",1,"a",52,1,0.0129740518962076,8.57692307692308,0,0,3
