Language family,Language ,CDI Production_N,CDI Production_Ages,CDI Production_ULs,CHILDES_Types,CHILDES_Tokens
Indo-European: Germanic,Danish,6112,8–36,601,4955,195658
Indo-European: Germanic,Dutch,1828,8–36,806,24423,1546926
Indo-European: Germanic,English (American),10939,8–30,670,72704,17899676
Indo-European: Germanic,English (Australian),1497,12–30,544,72704,17899676
Indo-European: Germanic,English (British),22589,12–47,522,72704,17899676
Indo-European: Germanic,German,1181,18–30,538,63832,3745393
Indo-European: Germanic,Norwegian,7358,8–36,658,10428,224402
Indo-European: Germanic,Swedish,1367,8–28,653,11952,387670
Indo-European: Romance,Catalan,1436,8–30,571,9363,196637
Indo-European: Romance,French (French),1489,8–30,630,24509,2110026
Indo-European: Romance,French (Quebecois),1760,8–30,625,24509,2110026
Indo-European: Romance,Italian,1400,7–36,624,10424,294050
Indo-European: Romance,Portuguese (European),4326,8–30,526,10757,447904
Indo-European: Romance,Spanish (European),1005,8–30,533,25360,1263959
Indo-European: Romance,Spanish (Mexican),1985,8–30,619,25360,1263959
Indo-European: Slavic,Croatian,627,8–30,614,12831,226081
Indo-European: Slavic,Czech,493,16–30,477,16636,193573
Indo-European: Slavic,Russian,1805,8–36,653,4184,38591
Japonic,Japanese,846,8–36,569,261159,703143
Koreanic,Korean,2422,8–36,599,45736,395720
Semitic,Hebrew,534,11–35,591,16772,515542
Sino-Tibetan,Cantonese,1208,16–30,688,11281,1483524
Sino-Tibetan,Mandarin (Beijing),1938,12–30,807,18532,1740448
Sino-Tibetan,Mandarin (Taiwanese),2654,8–36,626,18532,1740448
Turkic,Turkish,3537,8–36,652,7006,55303
Uralic,Estonian,1235,16–30,570,28803,560396
Uralic,Hungarian,363,16–30,662,19321,224062
